Qualification requirements,Experience requirements,skill,occurrence percentage,skill rank
Pregraduate,Senior-level,mechanical engineering,0.062,1
Pregraduate,Senior-level,planning,0.061,2
Pregraduate,Senior-level,organisational skills,0.047,3
Pregraduate,Senior-level,mechanical design,0.047,4
Pregraduate,Senior-level,teamwork collaboration,0.042,5
Pregraduate,Senior-level,communication skills,0.037,6
Pregraduate,Senior-level,budgeting,0.026,7
Pregraduate,Senior-level,leadership,0.025,8
Pregraduate,Senior-level,project management,0.023,9
Pregraduate,Senior-level,quality management,0.02,10
Pregraduate,Senior-level,commissioning,0.018,11
Pregraduate,Senior-level,writing,0.015,12
Pregraduate,Senior-level,solidworks,0.014,13
Pregraduate,Senior-level,quality assurance and control,0.013,14
Pregraduate,Senior-level,autocad,0.011,15
Pregraduate,Senior-level,calculation,0.011,16
Pregraduate,Senior-level,problem solving,0.011,17
Pregraduate,Senior-level,microsoft office,0.011,18
Pregraduate,Senior-level,people management,0.01,19
Pregraduate,Senior-level,technical support,0.01,20
Graduate,Senior-level,mechanical engineering,0.091,1
Graduate,Senior-level,mechanical design,0.082,2
Graduate,Senior-level,communication skills,0.026,3
Graduate,Senior-level,solidworks,0.023,4
Graduate,Senior-level,autocad,0.021,5
Graduate,Senior-level,calculation,0.019,6
Graduate,Senior-level,project management,0.019,7
Graduate,Senior-level,engineering design and installation,0.019,8
Graduate,Senior-level,engineering design,0.018,9
Graduate,Senior-level,budgeting,0.017,10
Graduate,Senior-level,commissioning,0.015,11
Graduate,Senior-level,problem solving,0.014,12
Graduate,Senior-level,3d modelling design,0.013,13
Graduate,Senior-level,planning,0.011,14
Graduate,Senior-level,product design,0.01,15
Graduate,Senior-level,environmental consulting,0.01,16
Graduate,Senior-level,procurement,0.009,17
Graduate,Senior-level,product development,0.008,18
Graduate,Senior-level,teamwork collaboration,0.008,19
Graduate,Senior-level,research,0.008,20
