Qualification requirements,Experience requirements,skill,occurrence percentage,skill rank
Pregraduate,Senior-level,planning,0.057,1
Pregraduate,Senior-level,mechanical engineering,0.057,2
Pregraduate,Senior-level,organisational skills,0.043,3
Pregraduate,Senior-level,teamwork collaboration,0.038,4
Pregraduate,Senior-level,communication skills,0.038,5
Pregraduate,Senior-level,budgeting,0.025,6
Pregraduate,Senior-level,leadership,0.023,7
Pregraduate,Senior-level,project management,0.022,8
Pregraduate,Senior-level,commissioning,0.02,9
Pregraduate,Senior-level,mechanical design,0.02,10
Pregraduate,Senior-level,quality management,0.019,11
Pregraduate,Senior-level,writing,0.014,12
Pregraduate,Senior-level,quality assurance and control,0.013,13
Pregraduate,Senior-level,problem solving,0.011,14
Pregraduate,Senior-level,microsoft office,0.01,15
Pregraduate,Senior-level,technical support,0.01,16
Pregraduate,Senior-level,preventive maintenance,0.01,17
Pregraduate,Senior-level,predictive preventative maintenance,0.01,18
Pregraduate,Senior-level,people management,0.009,19
Pregraduate,Senior-level,forklift operation,0.009,20
Graduate,Senior-level,mechanical engineering,0.076,1
Graduate,Senior-level,mechanical design,0.054,2
Graduate,Senior-level,communication skills,0.027,3
Graduate,Senior-level,engineering design and installation,0.022,4
Graduate,Senior-level,project management,0.022,5
Graduate,Senior-level,engineering design,0.021,6
Graduate,Senior-level,solidworks,0.02,7
Graduate,Senior-level,budgeting,0.017,8
Graduate,Senior-level,commissioning,0.017,9
Graduate,Senior-level,problem solving,0.015,10
Graduate,Senior-level,calculation,0.014,11
Graduate,Senior-level,autocad,0.014,12
Graduate,Senior-level,planning,0.013,13
Graduate,Senior-level,manufacturing processes,0.013,14
Graduate,Senior-level,engineering management,0.012,15
Graduate,Senior-level,original equipment manufacturer oem ,0.01,16
Graduate,Senior-level,research,0.01,17
Graduate,Senior-level,teamwork collaboration,0.009,18
Graduate,Senior-level,technical support,0.008,19
Graduate,Senior-level,microsoft office,0.007,20
