Qualification requirements,Experience requirements,skill,occurrence percentage,skill rank
Pregraduate,Mid-level,repair,0.145,1
Pregraduate,Mid-level,teamwork collaboration,0.063,2
Pregraduate,Mid-level,auto repair,0.048,3
Pregraduate,Mid-level,communication skills,0.047,4
Pregraduate,Mid-level,electrical work,0.046,5
Pregraduate,Mid-level,vehicle maintenance,0.039,6
Pregraduate,Mid-level,detail-orientated,0.032,7
Pregraduate,Mid-level,customer service,0.026,8
Pregraduate,Mid-level,civil engineering,0.022,9
Pregraduate,Mid-level,automotive services industry knowledge,0.018,10
Pregraduate,Mid-level,computer literacy,0.018,11
Pregraduate,Mid-level,organisational skills,0.018,12
Pregraduate,Mid-level,automotive industry knowledge,0.015,13
Pregraduate,Mid-level,welding,0.015,14
Pregraduate,Mid-level,ignition systems,0.013,15
Pregraduate,Mid-level,multimeters,0.013,16
Pregraduate,Mid-level,machining,0.009,17
Pregraduate,Mid-level,calibration,0.009,18
Pregraduate,Mid-level,transmission repair,0.009,19
Pregraduate,Mid-level,key performance indicators kpis ,0.009,20
Graduate,Senior-level,teamwork collaboration,0.283,1
Graduate,Senior-level,planning,0.232,2
Graduate,Senior-level,communication skills,0.222,3
Graduate,Senior-level,automotive industry knowledge,0.162,4
Graduate,Senior-level,organisational skills,0.04,5
Graduate,Senior-level,multi-tasking,0.03,6
Graduate,Senior-level,supervisory skills,0.02,7
Graduate,Senior-level,facebook,0.01,8
