Qualification requirements,Experience requirements,skill,occurrence percentage,skill rank
Pregraduate,Senior-level,mechanical engineering,0.072,1
Pregraduate,Senior-level,mechanical design,0.033,2
Pregraduate,Senior-level,commissioning,0.028,3
Pregraduate,Senior-level,communication skills,0.025,4
Pregraduate,Senior-level,hydraulics,0.025,5
Pregraduate,Senior-level,electrical design,0.018,6
Pregraduate,Senior-level,project management,0.016,7
Pregraduate,Senior-level,planning,0.016,8
Pregraduate,Senior-level,autocad,0.015,9
Pregraduate,Senior-level,budgeting,0.014,10
Pregraduate,Senior-level,electrical engineering,0.013,11
Pregraduate,Senior-level,problem solving,0.012,12
Pregraduate,Senior-level,calculation,0.012,13
Pregraduate,Senior-level,preventive maintenance,0.011,14
Pregraduate,Senior-level,technical recruiting,0.011,15
Pregraduate,Senior-level,hvac,0.01,16
Pregraduate,Senior-level,solidworks,0.01,17
Pregraduate,Senior-level,predictive preventative maintenance,0.01,18
Pregraduate,Senior-level,power generation,0.009,19
Pregraduate,Senior-level,scheduling,0.009,20
Graduate,Senior-level,mechanical engineering,0.045,1
Graduate,Senior-level,original equipment manufacturer oem ,0.039,2
Graduate,Senior-level,research,0.027,3
Graduate,Senior-level,communication skills,0.024,4
Graduate,Senior-level,systems engineering,0.022,5
Graduate,Senior-level,mechanical design,0.021,6
Graduate,Senior-level,simulation,0.017,7
Graduate,Senior-level,matlab,0.016,8
Graduate,Senior-level,system design,0.016,9
Graduate,Senior-level,hybrid vehicle,0.016,10
Graduate,Senior-level,automotive engineering,0.015,11
Graduate,Senior-level,project management,0.014,12
Graduate,Senior-level,automotive industry knowledge,0.014,13
Graduate,Senior-level,solidworks,0.013,14
Graduate,Senior-level,fuel cell,0.013,15
Graduate,Senior-level,problem solving,0.013,16
Graduate,Senior-level,mathworks simulink,0.013,17
Graduate,Senior-level,electric vehicle,0.012,18
Graduate,Senior-level,product development,0.012,19
Graduate,Senior-level,teamwork collaboration,0.012,20
