Qualification requirements,Experience requirements,skill,occurrence percentage,skill rank
Pregraduate,Mid-level,water treatment,0.063,1
Pregraduate,Mid-level,forklift operation,0.061,2
Pregraduate,Mid-level,communication skills,0.052,3
Pregraduate,Mid-level,preventive maintenance,0.037,4
Pregraduate,Mid-level,predictive preventative maintenance,0.032,5
Pregraduate,Mid-level,commissioning,0.032,6
Pregraduate,Mid-level,customer service,0.029,7
Pregraduate,Mid-level,technical support,0.029,8
Pregraduate,Mid-level,organisational skills,0.027,9
Pregraduate,Mid-level,cleaning,0.026,10
Pregraduate,Mid-level,scheduling,0.024,11
Pregraduate,Mid-level,teamwork collaboration,0.022,12
Pregraduate,Mid-level,hydraulics,0.022,13
Pregraduate,Mid-level,troubleshooting,0.019,14
Pregraduate,Mid-level,object-oriented analysis and design ooad ,0.018,15
Pregraduate,Mid-level,rtsa,0.018,16
Pregraduate,Mid-level,computer literacy,0.018,17
Pregraduate,Mid-level,mechanical engineering,0.011,18
Pregraduate,Mid-level,technical recruiting,0.011,19
Pregraduate,Mid-level,hoisting equipment,0.01,20
