,match,known accuracy,match cv2,known accuracy cv2,match cv3,known accuracy cv3,match cv4,known accuracy cv4
1213.0,Pregraduate,1.0,,,,,Graduate,1.0
2231.0,Graduate,0.9345314965112308,Graduate,0.9251183231913455,Graduate,0.9254555689699734,Graduate,0.9267431662305923
2423.0,Graduate,0.9393782602268167,Graduate,0.9383632065972038,Graduate,0.9366749945901285,Graduate,0.9369158231760766
2431.0,Graduate,0.9160488879983971,Graduate,0.9109083007388092,Graduate,0.9005328596802842,,
3114.0,Pregraduate,0.9100743745774171,,,,,,
5119.0,Pregraduate,0.9090909090909091,,,Pregraduate,1.0,Pregraduate,0.9090909090909091
5211.0,Pregraduate,1.0,Pregraduate,1.0,,,Pregraduate,1.0
5214.0,Pregraduate,1.0,Pregraduate,1.0,Pregraduate,1.0,Pregraduate,1.0
5225.0,,,Pregraduate,0.9117647058823529,,,,
5231.0,Pregraduate,0.9899020477003914,Pregraduate,0.9895028033689827,Pregraduate,0.9879219238649843,Pregraduate,0.9885954058852009
5241.0,Pregraduate,0.9396070726915521,Pregraduate,0.9355561084846977,Pregraduate,0.935690775592877,Pregraduate,0.9290264287327762
5311.0,Pregraduate,0.9556650246305419,Pregraduate,0.9347826086956522,Pregraduate,0.9351351351351351,Pregraduate,0.9533678756476683
5312.0,Pregraduate,0.98046875,Pregraduate,0.9705882352941176,Pregraduate,0.9749058971141782,Pregraduate,0.9670050761421319
5313.0,Pregraduate,0.9539170506912442,Pregraduate,0.9566160520607375,Pregraduate,0.955420466058764,Pregraduate,0.9572025052192067
5314.0,Pregraduate,0.9700823818470877,Pregraduate,0.9726057579318449,Pregraduate,0.9709476410131909,Pregraduate,0.9680408799584271
5315.0,Pregraduate,0.9739884393063584,Pregraduate,0.9693337328938167,Pregraduate,0.9709904682967261,Pregraduate,0.9664702731655062
5316.0,Pregraduate,0.9572192513368984,Pregraduate,0.9586206896551724,Pregraduate,0.9416666666666667,Pregraduate,0.9523809523809523
5321.0,Pregraduate,0.9798941798941799,Pregraduate,0.987027027027027,Pregraduate,0.977728285077951,Pregraduate,0.9778012684989429
5322.0,Pregraduate,0.9620991253644315,Pregraduate,0.9788732394366197,Pregraduate,0.9651162790697675,Pregraduate,0.9657320872274143
5323.0,Pregraduate,0.9771414217533283,Pregraduate,0.9665178571428571,Pregraduate,0.9695624603677869,Pregraduate,0.9652445369406868
5434.0,,,Pregraduate,0.9101599247412983,Pregraduate,0.933126660761736,Pregraduate,0.9019792648444863
5436.0,Pregraduate,0.9872159090909091,Pregraduate,0.9559164733178654,Pregraduate,0.9809358752166378,Pregraduate,0.984251968503937
5441.0,Pregraduate,1.0,Pregraduate,1.0,Pregraduate,1.0,Pregraduate,1.0
5442.0,Pregraduate,0.9018867924528302,Pregraduate,0.9324324324324325,Pregraduate,0.924901185770751,Pregraduate,0.9137931034482759
6211.0,Pregraduate,0.931899641577061,Pregraduate,0.9288256227758007,Pregraduate,0.946236559139785,Pregraduate,0.9307282415630551
6215.0,,,,,,,Pregraduate,1.0
8111.0,Pregraduate,0.9217081850533808,Pregraduate,0.9098360655737705,Pregraduate,0.939622641509434,Pregraduate,0.94
8112.0,,,,,,,Pregraduate,1.0
8119.0,Graduate,1.0,Graduate,1.0,Graduate,1.0,,
8126.0,Pregraduate,1.0,Pregraduate,1.0,Pregraduate,1.0,Pregraduate,1.0
8129.0,,,Pregraduate,0.9058823529411765,Pregraduate,0.9240506329113924,Pregraduate,0.9156626506024096
8141.0,Pregraduate,0.9801980198019802,Pregraduate,0.9459459459459459,Pregraduate,0.9640287769784173,Pregraduate,0.9637681159420289
8142.0,,,Pregraduate,0.9333333333333333,,,,
8221.0,Pregraduate,0.9238095238095239,Pregraduate,0.9008264462809917,,,Pregraduate,0.9025974025974026
8229.0,,,,,Pregraduate,0.9022082018927445,,
9132.0,Pregraduate,1.0,Pregraduate,1.0,,,Pregraduate,1.0
9275.0,Pregraduate,0.9130434782608695,Pregraduate,0.9587628865979382,Pregraduate,0.9482758620689655,Pregraduate,0.9583333333333334
