,match,known accuracy,match cv2,known accuracy cv2,match cv3,known accuracy cv3,match cv4,known accuracy cv4
1213.0,Entry-level,1.0,Entry-level,1.0,Entry-level,1.0,,
4114.0,Mid-level,1.0,Mid-level,1.0,Mid-level,1.0,Mid-level,1.0
5111.0,Entry-level,1.0,,,,,,
5211.0,Mid-level,1.0,Mid-level,1.0,,,Mid-level,1.0
5214.0,Mid-level,1.0,Mid-level,1.0,Mid-level,1.0,Mid-level,1.0
6215.0,,,Mid-level,1.0,,,,
8112.0,,,,,Senior-level,1.0,Entry-level,1.0
9132.0,Senior-level,1.0,Senior-level,1.0,Senior-level,1.0,,
