Unnamed: 0,NOS Title
semaut3060.pdf,removing and refitting motorsport engines and ancillary components
semaut3061.pdf,removing and refitting transmissions on motorsport vehicles
semaut3064.pdf,removing and refitting steering systems on motorsport vehicles
semaut3069.pdf,removing and refitting electrical/electronic equipment on motorsport vehicles
sempeo259.pdf,carrying out maintenance activities on motorsport vehicle electrical equipment
group 1412,removing and refitting braking systems on motorsport vehicles;removing and refitting fuel systems on motorsport vehicles
