,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,plan munition clearance and search operations and programmes,prepare the explosives process area and equipment,handover mechanical fire protection system to customer,prepare to carry out air tightness testing ,carry out the research strategy and analyse the information collected on explosive substances and/or articles,removing and refitting motorsport engines and ancillary components,work safely in the land-based engineering work area,service and repair clutches and other transmission controlling devices on land-based equipment,contribute to safe working practices in the rail engineering industry,assist in the installation of signalling equipment,plan signal maintenance testing activities,establish information for signal engineering maintenance and/or fault finding,assess body damage to buses/coaches,contribute to safe working practices in bus/coach engineering and maintenance,carrying out pipe fitting activities,machining components for experimental vehicle engineering,comply with statutory regulations and organisational safety requirements in food and drink operations,installing aircraft mechanical controls,assembling sub-assembly units to vehicles,reinstating the work area on completion of activities,create engineering designs,joining materials by manual torch brazing and soldering,marking out components for fabrication,installing marine power generation and distribution equipment and systems,"slinging, lifting and moving materials and components"
1,assist in searching for specified targets,prepare explosives process materials,establish customer requirements for a mechanical fire protection system,"carry out air tightness testing on large and complex, high rise and phased hand over zonal buildings",carry out investigations and analyse the information collected on explosive substances and/or articles,removing and refitting transmissions on motorsport vehicles,implement organisational procedures in land-based engineering,service and repair mechanical transmission assemblies on land-based equipment,carry out installation of electrification and plant assets,assist in planned maintenance of signalling equipment,carry out installation of signalling assets,assist with establishing compliance with specifications for signalling equipment,repair damage to bus/coach body components,carry out bus/coach servicing,using lathes for turning operations,machining components for commercial and passenger carrying vehicle applications,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,installing aircraft hydraulic systems,preparing vehicle body surfaces for finishing,marking out composite and/or metallic aircraft components,obtaining resources for the implementation of engineering activities,marking out components for metalwork,bending and forming plate using power operated machines,installing marine sensor equipment and systems,producing structural steel ancillary components
2,contribute to removing the threat of munitions,monitor and control explosives processing,prepare and produce quotations for mechanical fire protection systems,prepare building for air tightness testing,contribute to carrying out investigations and analysing the information collected on explosive substances and/or articles,removing and refitting steering systems on motorsport vehicles,service and repair electronic control and monitoring systems on land-based equipment,service and repair land-based cutting and mowing equipment,plan electrification and plant engineering activities,assist in the installation of telecoms equipment,carry out planned maintenance of signalling assets,establish information for telecoms engineering maintenance and/or fault finding,set out and assemble bus/coach body components,rectify body damage on bus/coach vehicle body components,using milling machines,"producing mould, press tool or die components by manual machining",use engineering drawings and documents in maintenance activities in food and drink operations,installing aircraft pneumatic systems,spraying vehicle body surfaces,installing aircraft mechanical fasteners into composite and/or metallic components,implement engineering processes,developing and marking out templates for metalwork,cutting and shaping wooden components for yachts and boats using hand tools,installing marine computer equipment and systems,producing structural steel ancillary components
3,move and transport munitions,prepare to start up a machine-based production process,design systems for mechanical fire protection,carry out air tightness testing for single dwellings and other small buildings  ,evaluate and document complex research and findings on explosive substances and/or articles,removing and refitting electrical/electronic equipment on motorsport vehicles,service and repair hydraulic systems on land-based equipment,service and repair land-based harvesting and processing equipment,transfer responsibility of electrification and plant equipment and components,assist in planned maintenance of telecoms equipment,adjust signalling components and equipment to meet operational requirements,diagnose faults in telecoms assets,recondition mechanical components in buses/coaches,identify and locate mechanical faults in bus/coach systems and components,carrying out routine servicing of mechanical equipment,machining components for jigs and fixtures,understand how to use engineering drawings and documents in maintenance activities in food and drink operations,installing aircraft de-icing systems,diagnosing and rectifying faults in vehicle electrical and electronic systems,producing composite and/or metallic aircraft sub-assemblies,monitor and evaluate engineering processes,bending and forming plate using press brakes or bending machines,applying surface finishes to yacht and boat wooden assemblies,installing marine weapons equipment and systems,producing fillet welded joints using a manual welding process;welding pipe/tube using multiple manual arc welding processes;tack welding marine plate using a manual welding process;welding plate using multiple manual arc welding processes;producing socket and flange fillet welded joints in low pressure marine pipework using a manual welding process;joining marine materials/structures using semi-automatic mig/mag and flux cored arc processes;welding marine materials and structures using the manual metal arc process;welding marine materials and structures using manual tig and plasma arc welding processes;tack welding fillet joints in marine steelwork;tack welding marine plate using a manual/semi-automatic welding process;joining marine materials/structures using manual tig and plasma-arc welding processes;producing fillet welded joints using a manual/semi-automatic welding process;joining components for commercial and passenger carrying vehicles using a manual welding process;joining marine materials/structures using the manual metal arc (mma) welding process;welding marine materials and structures using semi-automatic mig/mag and;welding marine pipe/tube using multiple manual arc welding processes;welding marine plate and structures using multiple manual arc welding processes;assembling jig and fixture structures using a manual welding process;joining materials by the manual mig/mag and other continuous wire processes;producing socket and flange fillet welded joints in pipe using a manual welding process
4,contribute to the movement or transportation of munitions,start up and maintain a machine-based production process,install mechanical fire protection,carry out air tightness testing for non-simple buildings,assess and document research and findings on explosive substances and/or articles,carrying out maintenance activities on motorsport vehicle electrical equipment,handle refrigerants,"service and repair land-based soil preparation, cultivation and plant establishment equipment",assist in preparing resources for electrification and plant engineering activities,assist with tests and checks of telecoms equipment,carry out removal of components from signalling assets,determine requirements for the safe access to work locations for telecoms engineering;determine requirements for safe access to work locations for signal engineering,install ancillary systems and components in buses/coaches,identify and locate electrical faults in bus/coach systems and components,cutting and shaping platework components,machining toolroom components using a range of machines,hand over and confirm completion of maintenance activities within food and drink operations,installing aircraft environmental systems,repairing and refurbishing commercial and passenger carrying vehicles,producing composite and/or metallic aircraft major assemblies,evaluate engineering risk assessments,assembling components for experimental vehicle engineering by resistance spot welding;joining marine sheet metal materials using resistance spot welding;joining materials by resistance spot welding;assembling components for commercial and passenger carrying vehicles by resistance spot welding;using resistance spot welding to join marine sheet metal materials,"fitting seating, interior panels, soft furnishing and trim in yachts and boats","installing marine lighting, alarm, detection and monitoring equipment and systems",producing marine sheet metal assemblies;producing sheetmetal assemblies;assembling marine sheet metal components;assembling fabricated components to produce marine sub-assemblies;producing major structural components/sub-assemblies;producing sheet metal assemblies;producing platework assemblies;producing pipe fabrications;producing marine sheet metal outfitting assemblies
5,enable areas cleared of munitions or specified targets to be remediated,shutdown a machine-based production process,commission mechanical fire protection systems,prepare and issue the air tightness test report  ,gather and interpret the information on explosive substances and/or articles,removing and refitting braking systems on motorsport vehicles;removing and refitting fuel systems on motorsport vehicles,carry out the handover and installation of land-based equipment,"service and repair land-based transport, handling and storage equipment",allocate and monitor resources for electrification and plant engineering activities,,carry out replacement of components from signalling assets,reinstate the work area after telecoms engineering activities;reinstate the work area after signal engineering activities,establish customer technical requirements for buses/coaches,identify bus/coach body damage and recommend suitable repair techniques,using oxy-fuel gas cutting equipment,producing aircraft components by manual machining;producing components by manual machining,understand how to hand over and confirm completion of maintenance activities within food and drink operations,installing aircraft visual display units and computer systems,fitting ancillary units to commercial and passenger carrying vehicles,repairing airframes and structures,specify risk reduction methods and procedures,welding marine materials and structures using the manual oxy/fuel gas;joining materials by the manual gas welding process;welding materials by the manual gas welding process;welding materials by the oxy/fuel gas welding process;joining marine materials/structures using the manual oxy/fuel gas welding process;joining plastics using manual welding processes,carrying out repairs to yacht and boat wooden components and assemblies,"setting to work, testing and trialling marine communication equipment and systems",joining fabricated components using mechanical fasteners;joining marine sheet metal components using mechanical fasteners;assembling components using mechanical fasteners;using mechanical fasteners to join marine sheet metal components
6,complete munitions or specified targets search reports,select and prepare used products for processing,maintain and test the operational performance of mechanical fire protection,initiate and progress contracts with clients to carry out air tightness testing ,prepare the research programme for explosive substances and/or articles,,deliver customer care in land-based engineering,service and repair electrical systems on land-based equipment,carry out technical assessment of electrification and plant,,establish compliance with specifications for signalling assets,,improve the service provided to customers of buses/coaches,complete routine assembly of bus/coach body components,wiring electrical equipment and circuits,,maintain mechanical equipment within an engineered system used in food and drink operations,installing aircraft engine control units,fitting internal and external trim and fitments to commercial and passenger carrying vehicles,producing aircraft composite assemblies,implement quality assurance methods and procedures,heat treating materials for fabrication activities,carrying out repairs to yacht and boat composite components,lining off for assembly and erection of marine steelwork and components,cutting marine steelwork using shearing machines;cutting plate and sections using shearing machines
7,assist with the movement and transportation of munitions,prepare to produce products by hand-based operations,,,plan the research into explosive substances and/or articles,,service and repair pneumatic systems on land-based equipment,service and repair land-based treatment application equipment,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry,,diagnose faults in signalling assets,,carry out roadside recovery of buses/coaches,prepare and treat surfaces and apply paint coats to bus/coach body panels and components,assembling electronic circuits,,understand how to maintain mechanical equipment within an engineered system used in food and drink operations,installing aircraft power supplies,fitting pipework systems to commercial and passenger carrying vehicles,applying finishes to aircraft composite mouldings,improve the quality of engineering products or processes,cutting and shaping using cnc plasma or gas cutting machines;cutting and shaping materials using nc/cnc laser profiling machines;cutting and shaping materials using cnc water jet cutting machines;cutting and shaping materials using cnc laser profiling machines,producing mechanical engineering drawings using a cad system,cutting materials using hand and machine tools,cutting materials using saws and abrasive discs;cutting marine steelwork using saws and abrasive discs
8,use and maintain search or munition clearance equipment,finish products,,,assess the explosive substances and/or articles for disposal,,service and repair land-based air-conditioning/refrigeration systems,apply core land-based engineering principles: tools and equipment,carry out maintenance on electrification and plant assets;assist in preventative and corrective maintenance of traction cabling systems;carry out preventative and corrective maintenance of traction cabling systems ;carry out maintenance on electrification and plant equipment and components;carry out installation of electrification and plant equipment and components,,plan telecoms maintenance testing activities,,plan and organise work of self and others,provide roadside assistance for broken down buses/coaches,making components from wood-based materials,,maintain fluid power equipment within an engineered system used in food and drink operations,installing aircraft flight guidance and control systems,modifying commercial and passenger carrying vehicles,undertaking scheduled maintenance of aircraft avionics equipment/systems,identify and define areas of engineering research,joining marine materials and components using adhesives;bonding marine materials and components using adhesives;bonding engineering materials using adhesives,forming and assembling pipework systems,outfitting marine steelwork,shaping marine steelwork using power rolling machines;forming marine components using power rolling machines;forming platework using power rolling machines
9,"assist with the preparation, maintenance and use of search or munition clearance equipment",configure and set processing systems to meet production requirements,,,dispose of explosive substances and/or articles by function as intended procedures,,,"apply core land-based engineering principles: material preparation, shaping and assembling",restore the contact systems to operational condition in the rail engineering industry ;establish the operational condition of electrification and plant assets,,carry out installation of telecoms assets,,carry out scheduled electrical maintenance on buses/coaches;carry out scheduled body maintenance on buses / coaches;carry out scheduled mechanical maintenance on buses/coaches,complete thermal joining of bus/coach components,assembling engineering woodwork components,,understand how to maintain fluid power equipment within an engineered system used in food and drink operations,installing aircraft electro-optical and infrared systems,assembling electrical and electronic equipment to vehicles;assembling and fitting wiring looms to vehicles,"carrying out fault diagnosis on aircraft airframe, mechanical components and systems","transfer control of engineering products, processes or facilities",cutting materials using hand operated thermal cutting equipment;cutting marine steelwork using handheld thermal cutting equipment;cutting and shaping materials using gas cutting machines;cutting and shaping marine steelwork using gas cutting machines;cutting and shaping materials using portable thermal cutting equipment,carrying out aircraft detail fitting activities,checking marine fabrications for quality and dimensional accuracy,drilling and finishing holes in marine steelwork;producing holes using drilling machines;producing and finishing holes using drilling machines
