,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,plan specified targets search operations,optimise standard operations which are under process control,,,contribute to post-disposal tasks for explosive substances and/or articles,,,apply core land-based engineering principles: servicing and maintenance,,,adjust telecoms components and equipment to meet operational requirements,,diagnose mechanical faults in bus/coach systems and components;diagnose electrical faults in bus/coach systems and components;recondition electrical components in buses/coaches,conduct inspections of buses/coaches,using and communicating technical information,,maintain process controller equipment within an engineered system used in food and drink operations,installing aircraft instrumentation systems,assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle;producing commercial and passenger carrying vehicle body sub-assemblies,undertaking scheduled maintenance of aircraft airframe and mechanical equipment,"propose decommissioning of engineering equipment, processes or facilities",forming structural sections using machines,installing aircraft mechanical fasteners,installing marine propulsion systems and equipment,erecting structural steelwork;assembling structural steelwork
11,manage munition clearance and search operations and programmes,contribute to a machine-based processing operation,,,adapt an existing disposal procedure for explosive substances and/or articles,,,apply core land-based engineering principles: thermal joining processes,,,carry out removal of components from telecoms assets,,repair mechanical/electrical faults in ancillary systems and components in buses/coaches;repair electrical faults in bus/coach systems and components,support learners by coaching in the workplace,,,understand how to maintain process controller equipment within an engineered system used in food and drink operations,,fitting electrical and electronic components to commercial and passenger carrying vehicles,removing and replacing components of aircraft fuel and lubrication systems,"commission engineering products, processes or facilities",forming pipework by machine bending,producing aircraft detail assemblies,installing marine power transmission systems and equipment,forming marine sheet metal components using hand and machine tools;forming sheetmetal using hand and machine tools;bending and forming marine sheet metal using hand and machine tools
12,manage specified targets search operations,carry out a hand-based processing operation,,,design a new disposal procedure for explosive substances and/or articles,,,service and repair braking systems on land-based equipment,,,carry out replacement of components from telecoms assets,,,operate an it system in a bus/coach engineering and maintenance environment,,,carry out preventative planned maintenance on engineered systems within food and drink operations,,,carrying out tests on aircraft engines and systems,leading maintenance activities,heat treating materials for marine fabrication activities;heat treating materials for fabrication activities,preparing and using lathes for turning operations,installing marine hydraulic systems and equipment,"slinging, lifting and moving materials, machinery and components in a marine environment;slinging, lifting and moving materials and components;moving materials and components in a marine environment"
13,evaluate and improve the effectiveness of munition clearance and search operations and programmes,finish production components,,,manage tasks for the disposal of explosive substances and/or articles,,,service and repair wheeled and tracked steering systems on land-based equipment,,,conduct specified testing of telecoms systems,,,rectify electrical faults in bus/coach systems and components;rectify mechanical faults in bus/coach systems and components,,,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,,,carrying out tests on aircraft control systems,leading installation or commissioning activities,welding materials by the manual mig/mag and other continuous wire processes;welding materials by the manual metal arc process;welding materials by the manual tig and plasma arc welding process;welding materials by the semi-automatic mig/mag and flux cored arc processes,preparing and using milling machines,installing marine mechanical control systems and equipment,cutting and shaping marine sheet metal using hand and machine tools;cutting sheet metal to shape using hand and machine tools
14,organise and supervise the delivery of specified targets search plans,unit 1: prepare materials for processing according to instructions within polymer processing and related operations,,,contribute to pre-disposal tasks for explosive substances and/or articles,,,apply core land-based engineering principles: mechanical principles,,,plan for further professional development in the rail engineering industry,,,,,,carry out condition monitoring of plant and equipment used within food and drink operations,,,carrying out test bed runs on aircraft engines (uninstalled),leading welding and fabrication activities,operating cnc fabrication equipment;operating cnc fabrication machines,preparing and using grinding machines,installing marine ancillary plant and equipment,welding materials using mechanised arc welding equipment;welding materials with mechanised arc welding equipment
15,define the boundaries of the area to be searched for munitions,unit 10: supply materials required for process operations within polymer processing and related operations,,,hand over explosive substances and/or articles,,,,,,establish information for signal engineering testing;establish information for telecoms engineering testing;establish information for signal engineering installation;establish information for telecoms engineering installation,,,,,,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,,,producing aeronautical engineering drawings/models using 3d computer aided techniques,leading rail welding activities,,preparing and proving cnc machine tool programs,installing marine fire main systems and equipment,
16,identify and record the location and disposition of potential munitions within boundaries,unit 12: start up and maintain a machine-based production process within polymer processing and related operations,,,pack or re-pack explosive substances and/or articles,,,,,,allocate and monitor resources for signal engineering activities;allocate and monitor resources for telecoms engineering activities,,,,,,assist in the installation of equipment to produce an engineered system in food and drink operations,,,monitoring aeronautical engineering activities,carrying out maintenance activities on instrumentation and control equipment,,preparing and using industrial robots,maintaining marine fuel systems and equipment,
17,identify and describe the area to be searched,unit 13: shutdown a machine-based production process within polymer processing and related operations,,,unpack explosive substances and/or articles,,,,,,conduct functional testing of newly installed signalling systems;conduct maintenance testing of signalling assets,,,,,,apply total productive maintenance (tpm) in food and drink operations,,,planning aeronautical engineering activities,carrying out maintenance activities on electrical equipment within an engineered system,,maintaining mechanical devices and equipment,maintaining marine hydraulic systems and equipment,
18,contribute to locating the disposition of potential munitions,unit 15: prepare to produce products by hand-based operations within polymer processing and related operations,,,certify as free from explosives hazards,,,,,,transfer responsibility of telecoms assets;transfer responsibility of signalling assets,,,,,,understand how to apply total productive maintenance (tpm) in food and drink operations ,,,producing technical details for aeronautical engineering activities,carrying out maintenance activities on fluid power equipment within an engineered system,,assembling and testing fluid power systems,maintaining marine auxiliary power units,
19,confirm the presence of munition(s),unit 16: produce products using hand-based operations within polymer processing and related operations,,,review the factors affecting the safety of specific explosive substances and/or articles,,,,,,contribute to technical leadership of telecoms engineering activities;contribute to technical leadership of signal engineering activities,,,,,,maintain waste/foul water distribution systems and equipment used in food and drink operations,,,obtaining resources for aeronautical engineering activities,carrying out maintenance activities on process controller equipment within an engineered system,,maintaining fluid power equipment,maintaining marine mechanical control equipment and systems,
20,develop your competence in working with munitions or specified targets,unit 17: finish products within polymer processing and related operations,,,establish the performance criteria for explosive substances and/or articles,,,,,,organise local signal engineering activities;organise local telecoms engineering activities,,,,,,maintain workplace environmental control systems used in food and drink operations,,,implementing aeronautical engineering activities,determining welding and related technical requirements to achieve objectives,,producing platework components and assemblies,"maintaining marine steering gear, control systems and equipment",
21,,unit 18: inspect products within polymer processing and related operations,,,contribute to pre-trial or pre-test tasks relating to relating to explosive substances and/or articles,,,,,,carry out planned maintenance of telecoms assets;establish compliance with specifications for newly installed telecoms assets;establish compliance with specifications for maintained telecoms assets,,,,,,understand how to maintain workplace environmental control systems used in food and drink operations,,,providing technical guidance on aeronautical engineering activities,planning welding production resources and activities,,cutting and shaping materials using thermal cutting equipment,overhauling marine propulsion systems,
22,,unit 19: prepare to configure processing equipment within polymer processing and related operations,,,contribute to conducting trial or test of explosive substances and/or articles,,,,,,,,,,,,maintain emergency power generation equipment used in food and drink operations,,,repairing aircraft composite mouldings,implementing welding production methods and procedures,,preparing and proving cnc fabrication machine tool programs,overhauling marine fuel systems and equipment,
23,,unit 20: configure processing equipment within polymer processing and related operations,,,contribute to post-trial or post-test tasks relating to explosive substances and/or articles,,,,,,,,,,,,understand how to maintain emergency power generation equipment used in food and drink operations ,,,dismantling aircraft gas turbine engines to module/unit level,solving welding problems in production,,preparing and using cnc fabrication machinery,marking out for the installation of marine wooden assemblies,
24,,unit 29: configure and set processing systems to meet production requirements within polymer processing and related operations,,,plan the trial of explosive substances and/or articles,,,,,,,,,,,,maintain gas distribution systems and equipment used in food and drink operations,,,rebuilding aircraft gas turbine engine assemblies after overhaul,monitoring welding activities in production,,preparing and using manual flame brazing and braze  welding equipment,repairing marine composite components and assemblies,
25,,unit 31: evaluate and modify processing parameters to meet process operations within polymer processing and related operations,,,plan the test of explosive substances and/or articles,,,,,,,,,,,,understand how to maintain gas distribution systems and equipment used in food and drink operations  ,,,using curing and consolidation equipment for aircraft composite mouldings,inspecting welded components or structures for visual quality and dimensional accuracy,,producing electrical or electronic engineering drawings using a cad system,installing marine sheet metal components and assemblies,
26,,unit 32: carry out complex manual operations within polymer processing and related operations,,,contribute to the identification of the requirement and specification for explosive substances and/or articles,,,,,,,,,,,,maintain instrumentation and control systems used in food and drink operations,,,installing aircraft composite mouldings,determine the requirements for engineering activities,,wiring and testing electrical equipment and circuits,testing marine electrical and electronic equipment and circuits;testing marine electrical equipment and circuits;carrying out tests on marine electrical and electronic equipment and circuits;carrying out tests on marine electrical equipment and circuits,
27,,unit 4: prepare for a processing operation within polymer processing and related operations,,,provide explosives-related technical input to assist in identifying potential suppliers and/or articles,,,,,,,,,,,,understand how to maintain instrumentation and control systems used in food and drink operations,,,lifting and trestling/shoring aircraft for maintenance/repair operations,schedule engineering activities ,,forming and assembling electrical cable enclosure and support systems,preparing holding primer for application;preparing marine coatings for application;preparing marine coating materials for application;preparing coating materials for application on yachts and boats,
28,,unit 5: contribute to a machine-based processing,,,negotiate and award contracts for explosives substances and/or articles,,,,,,,,,,,,understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,,,levelling and weighing aircraft,solve engineering or manufacturing problems,,"assembling, wiring and testing electrical panels/components mounted in enclosures",shaping marine wooden components using hand tools;producing marine wooden components using hand tools;producing/finishing wooden structural components for yachts and boats;producing wooden structural components for yachts and boats using machines;producing marine outfitting components in wood based materials;producing furniture and structural components for leisure vehicles;producing wooden furniture/outfitting components for yachts and boats using;producing marine wooden components using machines;shaping marine wooden components using machines;producing/finishing wooden furniture/outfitting components for yachts and,
29,,unit 6: carry out a hand-based processing,,,place orders for the supply of explosive substances and/or articles,,,,,,,,,,,,carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations,,,"towing, marshalling and parking aircraft",identifying engineering design requirements of clients,,assembling and testing electronic circuits,assembling wooden furniture/outfitting units for yachts and boats;assembling furniture and structural units for leisure vehicles;producing assemblies of marine wooden components;assembling marine wooden components;producing marine wooden outfitting assemblies,
30,,unit 7: finish production components within,,,ensure compliance with contract terms for the supply of explosive substances and/or articles,,,,,,,,,,,,repair/overhaul instrumentation and control equipment used in food and drink operations,,,carrying out flight servicing and routine maintenance of aircraft,producing engineering specifications,,maintaining electrical equipment/systems,carrying out the installation of cable runs and circuits in marine structures;installing cable runs and circuits in marine structures,
31,,unit 8: pack and store production components,,,supervise the placing of explosive substances and/or articles into storage,,,,,,,,,,,,understand how to repair/overhaul instrumentation and control equipment used in food and drink operations,,,maintaining flight control systems on aircraft,establish an engineering design brief,,maintaining electronic equipment/systems,carrying out modifications and rewiring of marine electrical circuits;modifying and rewiring electrical circuits in yachts and boats;modifying and rewiring marine electrical circuits,
32,,,,,dispose of explosive substances and/or articles by non-complex biological breakdown procedures;dispose of explosive substances and/or articles by non-complex mechanical breakdown procedures;dispose of explosive substances and/or articles by complex chemical breakdown procedures;dispose of explosive substances and/or articles by complex burning procedures;dispose of explosive substances and/or articles by non-complex burning procedures;dispose of explosive substances and/or articles by non-complex deflagration procedures;dispose of explosive substances and/or articles by complex incineration procedures;dispose of explosive substances and/or articles by complex mechanical breakdown procedures;dispose of explosive substances and/or articles by non-complex chemical breakdown procedures;dispose of explosive substances and/or articles by complex deflagration procedures;dispose of explosive substances and/or articles by complex detonation procedures;dispose of explosive substances and/or articles by non-complex detonation procedures;dispose of explosive substances and/or articles by complex biological breakdown procedures;dispose of explosive substances and/or articles by non-complex incineration procedures,,,,,,,,,,,,test and calibrate instrumentation and control equipment and circuits used in food and drink operations,,,producing composite mouldings using wet lay-up techniques,specify methods and procedures to achieve engineering requirements,,maintaining and testing process instrumentation and control devices,bending and forming marine pipe using hand methods;bending and forming marine pipe using bending machines;using hand methods to bend and form marine pipe;using bending machines to form marine pipe,
33,,,,,carry out post-disposal tasks for explosive substances and/or articles;carry out post-trial or post-test tasks relating to explosive substances and/or articles,,,,,,,,,,,,understand how to test and calibrate instrumentation and control equipment and circuits used in food and drink operations,,,producing aircraft engine turbine assemblies;producing aircraft engine gearbox assemblies;producing aircraft detail assemblies;producing aircraft engine major assemblies;producing aircraft engine compressor assemblies;producing aircraft engine combustion assemblies;dressing aircraft engines;producing aircraft piston engine assemblies,providing technical advice and guidance on engineering or manufacturing requirements,,wiring and testing programmable controller based systems,assembling ferrous marine pipework by mechanical means;joining non-ferrous marine pipework;joining non-metallic marine pipework;joining ferrous marine pipework by mechanical means;assembling non-metallic marine pipework;assembling non-ferrous marine pipework,
34,,,,,determine the existence of a suitable disposal procedure for explosive substances and/or articles;determine the existence of a suitable trial or test procedure for explosive substances and/or articles,,,,,,,,,,,,assist in the installation of instrumentation and control equipment used in food and drink operations,,,drilling and finishing holes in composite and/or metallic aircraft structures or components;drilling and finishing holes in aircraft components,develop a research methodology for engineering,,"using wood for pattern, modelmaking and other engineering applications",installing marine pipework and components;assisting in the installation of marine pipework and components,
35,,,,,plan the disposal of explosive substances and/or articles (complex);plan the disposal of explosive substances and/or articles (non-complex),,,,,,,,,,,,understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,,,testing aircraft assisted escape systems;testing aircraft hydraulic systems;testing aircraft de-icing systems;testing aircraft armament systems,"configure engineering products, processes or facilities",,"assembling pattern, model and engineering woodwork components",preparing and testing marine pipework systems;assisting in the testing of marine pipework systems,
36,,,,,carry out pre-trial or pre-test tasks relating to explosive substances and/or articles;carry out pre-disposal tasks for explosive substances and/or articles,,,,,,,,,,,,carry out scheduled maintenance on traction and rolling stock electrical equipment,,,"removing and replacing components of aircraft internal and external lighting systems;removing and replacing components of aircraft armament systems;removing and replacing components of aircraft communication systems;removing and replacing avionic indication and gauging components in aircraft systems;removing and replacing components of aircraft radar systems;removing and replacing components of aircraft electrical power control, distribution and protection systems;removing and replacing components of aircraft passive warning and optical/surveillance systems;removing and replacing components of aircraft pitot static systems;removing and replacing components of aircraft navigational and computing systems","plan and decommission engineering equipment, processes or facilities",,producing composite mouldings using pre-preg techniques,joining marine materials by manual torch brazing and soldering;carrying out manual torch brazing and soldering of marine pipework;joining marine pipework by manual torch brazing and soldering;joining materials using manual torch brazing and soldering,
37,,,,,make recommendations on the factors affecting the safety of specific explosive substances and/or articles,,,,,,,,,,,,carry out preventative planned maintenance on traction and rolling stock systems,,,"carrying out tests on aircraft environmental systems;carrying out tests on aircraft communication systems;carrying out tests on aircraft passive warning and optical/surveillance systems;carrying out tests on aircraft radar systems;carrying out tests on aircraft pitot static systems;carrying out tests on aircraft flight guidance and control systems;carrying out tests on aircraft fuel and storage systems;carrying out tests on aircraft pneumatic and vacuum systems;carrying out tests on aircraft navigational and computing systems;carrying out tests on aircraft hydraulic systems;carrying out tests on aircraft electrical power control, distribution and protection systems",investigate incidents relating to engineering activities,,finishing surfaces by applying coatings or coverings,marking off for the manufacture of marine steelwork components;marking off marine structural steelwork components,
38,,,,,review safety control measures for specific explosive substances and/or articles,,,,,,,,,,,,carry out fault diagnosis on engineered systems within food and drink operations;carry out fault diagnosis on services and systems for food and drink operations,,,"removing and replacing components of aircraft environmental systems;removing and replacing components of aircraft power transmission systems;removing and replacing aircraft power plant and components;removing and replacing components of aircraft cabin systems, equipment and furnishings;removing and replacing components of aircraft hydraulic systems",leading electrical/electronic product manufacturing or testing activities ;leading mechanical manufacturing or inspection activities,,producing cad models (drawings) using a cad system,forming marine components using a power press;shaping marine steelwork using a power press,
39,,,,,manage the trial of explosive substances and/or articles;manage the test of explosive substances and/or articles,,,,,,,,,,,,understand how to carry out fault diagnosis on engineered systems within food and drink operations;understand how to carry out fault diagnosis on services and systems for food and drink operations,,,carrying out checks and tests on replaced airframe major assemblies;carrying out tests on aircraft power transmission systems,carrying out maintenance activities on mechanical equipment within an engineered system ;carrying out maintenance activities on mechanical equipment,,producing engineering project plans,marking out for manufacture and assembly of marine wooden components;marking out for the manufacture of structural components for wooden yachts and boats;marking out for the manufacture of wooden furniture/outfitting components for yachts and boats;marking out for the manufacture and assembly of marine wooden components,
40,,,,,carry out tests of explosive substances and/or articles;carry out trials of explosive substances and/or articles,,,,,,,,,,,,understand how to assist in the installation of equipment to produce an engineered system in food and drink operations;understand how to assist in the installation of engineering services equipment used in food and drink operations,,,overhauling aircraft gas turbine engines by module replacement;stripping and rebuilding prototype engines for test;overhauling aircraft gas turbine engine gearbox assemblies;overhauling aircraft gas turbine engine combustion assemblies;stripping and rebuilding engines for motorsport vehicles;overhauling aircraft gas turbine engine compressor assemblies;overhauling aircraft gas turbine engine turbine assemblies;overhauling aircraft piston engines,,,using computer software packages to assist with engineering activities,marking out marine sheet metalwork;marking out for fabrication and assembly of marine sheet metalwork,
41,,,,,evaluate the results of tests of explosive substances and/or articles;evaluate the results of trials of explosive substances and/or articles,,,,,,,,,,,,maintain fresh water distribution systems and equipment used in food and drink operations;maintain heating and ventilation systems used in food and drink operations;maintain air conditioning and ventilation systems used in food and drink operations,,,"overhauling components of aircraft rotor heads, blades and power transmission equipment;overhauling components of aircraft oxygen equipment",,,conducting business improvement activities,preparing loads for moving;setting up and preparing loads for moving,
