,Suite_names,hierarchical
0,accessing operations and rigging construction,80
1,accountancy and finance,25
2,activity leadership,30
3,aeronautical engineering suite 2,61
4,aeronautical engineering suite 3,61
5,agricultural management,41
6,air tightness testing,53
7,anti money laundering,8
8,applied waterproof membranes construction,78
9,associated industrial services occupations construction,82
10,automotive engineering suite 3,63
11,bank accounts,8
12,branch management and business and customer commercial relationship management,24
13,building maintenance multi trade repair and refurbishment operations,83
14,building products leadership,35
15,building services engineering technology and project management,34
16,built environment design and consultancy practice,34
17,bulk explosive truck operations,1
18,bus and coach engineering and maintenance,55
19,business continuity management 2014,24
20,cctv strategic and operational management,23
21,chimney engineering construction,84
22,cladding occupations construction,79
23,combined working practices,69
24,composite engineering suite 2,62
25,composite engineering suite 3,62
26,confined spaces,47
27,constructing capital plant steel structures erecting,56
28,construction and civil engineering operations,82
29,construction contracting operations management,34
30,construction design management coordination level 4 nos,80
31,construction diving operations,87
32,construction operations and civil engineering services construction,82
33,construction operations construction,78
34,construction plant or machinery maintenance,88
35,construction senior management,34
36,construction site management,34
37,construction site supervision,88
38,construction using off site manufactured assemblies,82
39,controlling lifting operations construction,88
40,countering financial crime,12
41,credit management,9
42,customer payments for financial products and services,6
43,decorative finishing and industrial painting occupations construction,85
44,demolition construction,89
45,design and draughting,58
46,directors,21
47,down stream gas,52
48,electrical and electronic engineering suite 3,66
49,electrical and electronic engineering suite 3 2004,66
50,electrical and electronic servicing,69
51,electricity network control engineer,46
52,electrotechnical services approved electrician status,73
53,electrotechnical services electrotechnical technology and project management,34
54,electrotechnical services instrumentation,74
55,emergency fire services management,34
56,engineered wood,95
57,engineering and manufacture suite 4,58
58,engineering leadership and management suite 3,58
59,engineering leadership and management suite 4,58
60,engineering leadership and management suite 5,58
61,engineering leadership suite 3,58
62,engineering maintenance and installation suite 2 2008,68
63,engineering maintenance in food manufacture,18
64,engineering maintenance suite 3 2008,68
65,engineering surveying operations,60
66,engineering technical support suite 2 2007,58
67,engineering technical support suite 3 2009,58
68,engineering toolmaking level 3,63
69,engineering toolmaking suite 3,63
70,engineering toolmaking suite 3 2005,63
71,"engineering woodworking, pattern and model making suite 3 2002",63
72,ensuring the compliance of electrical installation work in dwellings with the building regulations england and wales,50
73,erection of precast concrete construction,82
74,expedition leadership and management,35
75,explosive substances and articles,2
76,fabricating steel structures plating,56
77,fabrication and welding engineering suite 3,64
78,fabrication and welding suite 2,64
79,fencing,98
80,"fenestration, installation and surveying",44
81,fibreboard operations,37
82,financial services core competences,14
83,financial services sales process,24
84,financing and credit,9
85,fisheries management,43
86,floorcovering occupations construction,86
87,food business operational management,18
88,food business strategic leadership,18
89,formwork construction,97
90,gas network construction,46
91,gas networks engineering management,46
92,general insurance,26
93,general takaful,26
94,generic financial advice,10
95,glazing,44
96,grips and crane technicians,22
97,harbour masters,17
98,"health, safety and environmental management in the extractive and mineral processing industries",37
99,heating and ventilating,51
100,heritage skills construction,83
101,highways maintenance construction,81
102,hospitality management,18
103,hospitality supervision and leadership,18
104,industrial design,34
105,innovative modern methods of construction,82
106,"inspectors of health, social care, children and young peoples services",31
107,installation and commissioning suite 3,68
108,installation and commissioning suite 3 2003,68
109,"installation of domestic fascias, soffits and bargeboards",77
110,"installation, testing and commissioning of electrical systems and equipment plant",56
111,installing plant and systems mechanical,56
112,installing plant and systems pipefitting,56
113,installing plant and systems small bore tubing occupations,71
114,insulation and building treatments construction,82
115,insurance technicians supervisors,26
116,integrated logistic support ils management suite 4 2003,34
117,integrated systems engineering,59
118,interior systems construction,82
119,investment operations,7
120,investment strategy and management,7
121,land based engineering operations,70
122,land based operations,24
123,leadership and management for care services,31
124,leakage detection and control,46
125,leisure management,29
126,leisure management l3 2005,29
127,"life, pensions and investments",6
128,live events and promotions management,21
129,london market,26
130,long term conditions case management,31
131,maintaining plant and systems electrical,56
132,maintaining plant and systems instrument and controls,56
133,maintaining plant and systems mechanical,56
134,management and leadership,35
135,management of volunteers 2008,40
136,managing in road passenger transport,35
137,managing justice sector services,36
138,managing sport and active leisure 2006,29
139,marine engineering,63
140,marine engineering suite 2,63
141,marine engineering suite 3,63
142,marketing 2013,27
143,mastic asphalt construction,94
144,mechanical engineering services,67
145,mechanical fire protection,33
146,mechanical manufacturing engineering suite 2 2008,63
147,mechanical manufacturing engineering suite 3 2008,63
148,mechanical ride operation,99
149,metal decking and stud welding occupations,65
150,mines management,3
151,monitoring engineering construction activities,56
152,multi utility management skills,38
153,multi utility network construction,46
154,network construction operations,46
155,occupational work supervision construction,88
156,offshore wind and marine installation and commissioning,32
157,oil fired technical services,67
158,outdoor sector senior roles,29
159,paraplanning,13
160,pension scheme trusteeship,4
161,pension trustee board secretaryship,4
162,performing building products operations,16
163,performing engineering operations suite 1,63
164,performing engineering operations suite 1 2006,57
165,performing engineering operations suite 2,63
166,performing engineering operations suite 2 2006,57
167,piling operations construction,93
168,plant installation construction,90
169,plant operations construction,88
170,plant operations extractives,92
171,plastering construction,83
172,plumbing and domestic heating,51
173,polymer processing and related operations,19
174,post tensioning operations construction,76
175,precast and prestressed concrete operations,15
176,precast concrete operations,15
177,production accounting,21
178,production management,18
179,production of glass supporting fabrications,45
180,professional skills for government psg,35
181,"project control, estimating, planning and cost engineering",34
182,project management,34
183,providing advice on savings for retirement,11
184,providing advice on securities or derivatives in the non retail market,5
185,providing advice on securities or derivatives in the retail market,5
186,providing financial advice and financial planning,7
187,rail engineering,54
188,rail engineering overhead line equipment construction suite 2,49
189,rail engineering overhead line equipment construction suite 3,49
190,rail engineering signalling suite 2,54
191,rail engineering signalling suite 3,54
192,rail engineering telecoms suite 2,54
193,rail engineering telecoms suite 3,54
194,rail engineering traction and rolling stock suite 2,68
195,rail engineering traction and rolling stock suite 3,68
196,rail operations supervisory,39
197,refractory installation construction,82
198,refrigeration and air conditioning,51
199,removal of hazardous and non hazardous waste construction,77
200,risk management for the financial sector,24
201,road building and maintenance,88
202,roofing occupations construction,78
203,secretary to the trustees of pension funds,4
204,securing void properties,33
205,security and loss prevention,48
206,security management,23
207,senior crafts construction,83
208,senior producers,21
209,site inspection,34
210,site logistics operations construction,82
211,solar thermal photovoltaic panel installation and surveying,79
212,"solid surface fabrication, installation and templating",72
213,specialist concrete occupations,82
214,specialist concrete occupations construction,82
215,specialist installation occupations construction,82
216,sport and play surfaces level 2,28
217,sport and play surfaces level 3,28
218,stonemasonry construction,81
219,sub structure work occupations construction,82
220,super structure work occupations construction,82
221,supervision of port operations,17
222,supply chain management,18
223,supporting activities in engineering construction,56
224,systems operations and management,42
225,temporary traffic management construction,75
226,traffic management,75
227,treatment processing and control in the water industry,20
228,trowel occupations construction,82
229,trustee and management committee,4
230,tunnelling operations construction,91
231,utilities control centre operations,14
232,utilities network planning and management,46
233,utility infrastructure management,46
234,wall and floor tiling construction,83
235,watch management,37
236,waterproof membrane roofing systems,78
237,waterproof membrane roofing systems construction,78
