,lenght,avg dist,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
29,4,0.583,leisure management,leisure management l3 2005,managing sport and active leisure 2006,outdoor sector senior roles,,,,,,,,,,,,,
7,3,0.591,investment operations,investment strategy and management,providing financial advice and financial planning,,,,,,,,,,,,,,
88,6,0.592,construction plant or machinery maintenance,construction site supervision,controlling lifting operations construction,occupational work supervision construction,plant operations construction,road building and maintenance,,,,,,,,,,,
28,2,0.601,sport and play surfaces level 2,sport and play surfaces level 3,,,,,,,,,,,,,,,
77,2,0.602,"installation of domestic fascias, soffits and bargeboards",removal of hazardous and non hazardous waste construction,,,,,,,,,,,,,,,
69,2,0.624,combined working practices,electrical and electronic servicing,,,,,,,,,,,,,,,
33,2,0.63,mechanical fire protection,securing void properties,,,,,,,,,,,,,,,
24,5,0.635,branch management and business and customer commercial relationship management,business continuity management 2014,financial services sales process,land based operations,risk management for the financial sector,,,,,,,,,,,,
82,17,0.651,associated industrial services occupations construction,construction and civil engineering operations,construction operations and civil engineering services construction,construction using off site manufactured assemblies,erection of precast concrete construction,innovative modern methods of construction,insulation and building treatments construction,interior systems construction,refractory installation construction,site logistics operations construction,specialist concrete occupations,specialist concrete occupations construction,specialist installation occupations construction,sub structure work occupations construction,super structure work occupations construction,trowel occupations construction,wood occupations construction
14,2,0.655,financial services core competences,utilities control centre operations,,,,,,,,,,,,,,,
67,2,0.658,mechanical engineering services,oil fired technical services,,,,,,,,,,,,,,,
37,3,0.673,fibreboard operations,"health, safety and environmental management in the extractive and mineral processing industries",watch management,,,,,,,,,,,,,,
8,2,0.693,anti money laundering,bank accounts,,,,,,,,,,,,,,,
79,2,0.709,cladding occupations construction,solar thermal photovoltaic panel installation and surveying,,,,,,,,,,,,,,,
97,1,1.0,formwork construction,,,,,,,,,,,,,,,,
94,1,1.0,mastic asphalt construction,,,,,,,,,,,,,,,,
93,1,1.0,piling operations construction,,,,,,,,,,,,,,,,
92,1,1.0,plant operations extractives,,,,,,,,,,,,,,,,
91,1,1.0,tunnelling operations construction,,,,,,,,,,,,,,,,
90,1,1.0,plant installation construction,,,,,,,,,,,,,,,,
89,1,1.0,demolition construction,,,,,,,,,,,,,,,,
70,1,1.0,land based engineering operations,,,,,,,,,,,,,,,,
72,1,1.0,"solid surface fabrication, installation and templating",,,,,,,,,,,,,,,,
87,1,1.0,construction diving operations,,,,,,,,,,,,,,,,
73,1,1.0,electrotechnical services approved electrician status,,,,,,,,,,,,,,,,
86,1,1.0,floorcovering occupations construction,,,,,,,,,,,,,,,,
74,1,1.0,electrotechnical services instrumentation,,,,,,,,,,,,,,,,
85,1,1.0,decorative finishing and industrial painting occupations construction,,,,,,,,,,,,,,,,
84,1,1.0,chimney engineering construction,,,,,,,,,,,,,,,,
76,1,1.0,post tensioning operations construction,,,,,,,,,,,,,,,,
71,1,1.0,installing plant and systems small bore tubing occupations,,,,,,,,,,,,,,,,
1,1,1.0,bulk explosive truck operations,,,,,,,,,,,,,,,,
50,1,1.0,ensuring the compliance of electrical installation work in dwellings with the building regulations england and wales,,,,,,,,,,,,,,,,
60,1,1.0,engineering surveying operations,,,,,,,,,,,,,,,,
2,1,1.0,explosive substances and articles,,,,,,,,,,,,,,,,
3,1,1.0,mines management,,,,,,,,,,,,,,,,
10,1,1.0,generic financial advice,,,,,,,,,,,,,,,,
11,1,1.0,providing advice on savings for retirement,,,,,,,,,,,,,,,,
12,1,1.0,countering financial crime,,,,,,,,,,,,,,,,
13,1,1.0,paraplanning,,,,,,,,,,,,,,,,
16,1,1.0,performing building products operations,,,,,,,,,,,,,,,,
19,1,1.0,polymer processing and related operations,,,,,,,,,,,,,,,,
20,1,1.0,treatment processing and control in the water industry,,,,,,,,,,,,,,,,
22,1,1.0,grips and crane technicians,,,,,,,,,,,,,,,,
25,1,1.0,accountancy and finance,,,,,,,,,,,,,,,,
27,1,1.0,marketing 2013,,,,,,,,,,,,,,,,
30,1,1.0,activity leadership,,,,,,,,,,,,,,,,
32,1,1.0,offshore wind and marine installation and commissioning,,,,,,,,,,,,,,,,
36,1,1.0,managing justice sector services,,,,,,,,,,,,,,,,
38,1,1.0,multi utility management skills,,,,,,,,,,,,,,,,
39,1,1.0,rail operations supervisory,,,,,,,,,,,,,,,,
40,1,1.0,management of volunteers 2008,,,,,,,,,,,,,,,,
41,1,1.0,agricultural management,,,,,,,,,,,,,,,,
42,1,1.0,systems operations and management,,,,,,,,,,,,,,,,
43,1,1.0,fisheries management,,,,,,,,,,,,,,,,
45,1,1.0,production of glass supporting fabrications,,,,,,,,,,,,,,,,
47,1,1.0,confined spaces,,,,,,,,,,,,,,,,
48,1,1.0,security and loss prevention,,,,,,,,,,,,,,,,
98,1,1.0,fencing,,,,,,,,,,,,,,,,
52,1,1.0,down stream gas,,,,,,,,,,,,,,,,
53,1,1.0,air tightness testing,,,,,,,,,,,,,,,,
55,1,1.0,bus and coach engineering and maintenance,,,,,,,,,,,,,,,,
59,1,1.0,integrated systems engineering,,,,,,,,,,,,,,,,
65,1,1.0,metal decking and stud welding occupations,,,,,,,,,,,,,,,,
99,1,1.0,mechanical ride operation,,,,,,,,,,,,,,,,
