,lenght,avg dist,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
61,2,0.157,aeronautical engineering suite 2,aeronautical engineering suite 3,,,,,,,,,,,,,,,
49,2,0.189,rail engineering overhead line equipment construction suite 2,rail engineering overhead line equipment construction suite 3,,,,,,,,,,,,,,,
57,2,0.197,performing engineering operations suite 1 2006,performing engineering operations suite 2 2006,,,,,,,,,,,,,,,
15,2,0.24,precast and prestressed concrete operations,precast concrete operations,,,,,,,,,,,,,,,
5,2,0.262,providing advice on securities or derivatives in the non retail market,providing advice on securities or derivatives in the retail market,,,,,,,,,,,,,,,
81,2,0.277,highways maintenance construction,stonemasonry construction,,,,,,,,,,,,,,,
17,2,0.281,harbour masters,supervision of port operations,,,,,,,,,,,,,,,
4,4,0.305,pension scheme trusteeship,pension trustee board secretaryship,secretary to the trustees of pension funds,trustee and management committee,,,,,,,,,,,,,
62,2,0.311,composite engineering suite 2,composite engineering suite 3,,,,,,,,,,,,,,,
66,2,0.314,electrical and electronic engineering suite 3,electrical and electronic engineering suite 3 2004,,,,,,,,,,,,,,,
44,2,0.351,"fenestration, installation and surveying",glazing,,,,,,,,,,,,,,,
26,4,0.359,general insurance,general takaful,insurance technicians supervisors,london market,,,,,,,,,,,,,
95,2,0.39,engineered wood,woodmachining construction sawmilling extrusion furniture,,,,,,,,,,,,,,,
68,6,0.424,engineering maintenance and installation suite 2 2008,engineering maintenance suite 3 2008,installation and commissioning suite 3,installation and commissioning suite 3 2003,rail engineering traction and rolling stock suite 2,rail engineering traction and rolling stock suite 3,,,,,,,,,,,
54,5,0.424,rail engineering,rail engineering signalling suite 2,rail engineering signalling suite 3,rail engineering telecoms suite 2,rail engineering telecoms suite 3,,,,,,,,,,,,
64,5,0.432,fabrication and welding engineering suite 3,fabrication and welding suite 2,welding pipework,welding plate and pipework,welding supervision,,,,,,,,,,,,
51,3,0.467,heating and ventilating,plumbing and domestic heating,refrigeration and air conditioning,,,,,,,,,,,,,,
75,2,0.476,temporary traffic management construction,traffic management,,,,,,,,,,,,,,,
18,7,0.49,engineering maintenance in food manufacture,food business operational management,food business strategic leadership,hospitality management,hospitality supervision and leadership,production management,supply chain management,,,,,,,,,,
80,2,0.492,accessing operations and rigging construction,construction design management coordination level 4 nos,,,,,,,,,,,,,,,
34,12,0.497,building services engineering technology and project management,built environment design and consultancy practice,construction contracting operations management,construction senior management,construction site management,electrotechnical services electrotechnical technology and project management,emergency fire services management,industrial design,integrated logistic support ils management suite 4 2003,"project control, estimating, planning and cost engineering",project management,site inspection,,,,,
96,2,0.497,wood merchants,wood preserving industrial pre treatment construction,,,,,,,,,,,,,,,
9,2,0.504,credit management,financing and credit,,,,,,,,,,,,,,,
23,2,0.508,cctv strategic and operational management,security management,,,,,,,,,,,,,,,
56,10,0.515,constructing capital plant steel structures erecting,fabricating steel structures plating,"installation, testing and commissioning of electrical systems and equipment plant",installing plant and systems mechanical,installing plant and systems pipefitting,maintaining plant and systems electrical,maintaining plant and systems instrument and controls,maintaining plant and systems mechanical,monitoring engineering construction activities,supporting activities in engineering construction,,,,,,,
35,5,0.523,building products leadership,expedition leadership and management,management and leadership,managing in road passenger transport,professional skills for government psg,,,,,,,,,,,,
21,4,0.526,directors,live events and promotions management,production accounting,senior producers,,,,,,,,,,,,,
58,8,0.529,design and draughting,engineering and manufacture suite 4,engineering leadership and management suite 3,engineering leadership and management suite 4,engineering leadership and management suite 5,engineering leadership suite 3,engineering technical support suite 2 2007,engineering technical support suite 3 2009,,,,,,,,,
63,12,0.531,automotive engineering suite 3,engineering toolmaking level 3,engineering toolmaking suite 3,engineering toolmaking suite 3 2005,"engineering woodworking, pattern and model making suite 3 2002",marine engineering,marine engineering suite 2,marine engineering suite 3,mechanical manufacturing engineering suite 2 2008,mechanical manufacturing engineering suite 3 2008,performing engineering operations suite 1,performing engineering operations suite 2,,,,,
31,3,0.532,"inspectors of health, social care, children and young peoples services",leadership and management for care services,long term conditions case management,,,,,,,,,,,,,,
83,5,0.549,building maintenance multi trade repair and refurbishment operations,heritage skills construction,plastering construction,senior crafts construction,wall and floor tiling construction,,,,,,,,,,,,
78,5,0.567,applied waterproof membranes construction,construction operations construction,roofing occupations construction,waterproof membrane roofing systems,waterproof membrane roofing systems construction,,,,,,,,,,,,
6,2,0.568,customer payments for financial products and services,"life, pensions and investments",,,,,,,,,,,,,,,
46,8,0.58,electricity network control engineer,gas network construction,gas networks engineering management,leakage detection and control,multi utility network construction,network construction operations,utilities network planning and management,utility infrastructure management,,,,,,,,,
