,lenght,avg dist,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
22,2,0.171,aeronautical engineering suite 2,aeronautical engineering suite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,0.211,performing engineering operations suite 1 2006,performing engineering operations suite 2 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,0.306,pension scheme trusteeship,pension trustee board secretaryship,secretary to the trustees of pension funds,trustee and management committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0.319,precast and prestressed concrete operations,precast concrete operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2,0.324,harbour masters,supervision of port operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,0.33,electrical and electronic engineering suite 3,electrical and electronic engineering suite 3 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,0.345,composite engineering suite 2,composite engineering suite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,0.365,general insurance,general takaful,insurance technicians supervisors,london market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.378,"fenestration, installation and surveying",glazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,0.403,heating and ventilating,plumbing and domestic heating,refrigeration and air conditioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4,0.403,paraplanning,providing advice on securities or derivatives in the non retail market,providing advice on securities or derivatives in the retail market,providing financial advice and financial planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,0.407,rail engineering,rail engineering signalling suite 2,rail engineering signalling suite 3,rail engineering telecoms suite 2,rail engineering telecoms suite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,0.425,engineered wood,woodmachining construction sawmilling extrusion furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7,0.47,electrical and electronic servicing,engineering maintenance and installation suite 2 2008,engineering maintenance suite 3 2008,installation and commissioning suite 3,installation and commissioning suite 3 2003,rail engineering traction and rolling stock suite 2,rail engineering traction and rolling stock suite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,0.475,credit management,financing and credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,0.475,constructing capital plant steel structures erecting,fabricating steel structures plating,"installation, testing and commissioning of electrical systems and equipment plant",installing plant and systems mechanical,installing plant and systems pipefitting,maintaining plant and systems electrical,maintaining plant and systems instrument and controls,maintaining plant and systems mechanical,monitoring engineering construction activities,supporting activities in engineering construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,0.476,welding pipework,welding plate and pipework,welding supervision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2,0.487,temporary traffic management construction,traffic management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,0.495,engineering maintenance in food manufacture,food business operational management,food business strategic leadership,hospitality management,hospitality supervision and leadership,production management,supply chain management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,0.512,ensuring the compliance of electrical installation work in dwellings with the building regulations england and wales,rail engineering overhead line equipment construction suite 2,rail engineering overhead line equipment construction suite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2,0.513,cctv strategic and operational management,security management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14,0.52,automotive engineering suite 3,engineering toolmaking level 3,engineering toolmaking suite 3,engineering toolmaking suite 3 2005,"engineering woodworking, pattern and model making suite 3 2002",fabrication and welding engineering suite 3,fabrication and welding suite 2,marine engineering,marine engineering suite 2,marine engineering suite 3,mechanical manufacturing engineering suite 2 2008,mechanical manufacturing engineering suite 3 2008,performing engineering operations suite 1,performing engineering operations suite 2,,,,,,,,,,,,,,,,,,,,,,,,,
53,4,0.53,directors,live events and promotions management,production accounting,senior producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8,0.538,design and draughting,engineering and manufacture suite 4,engineering leadership and management suite 3,engineering leadership and management suite 4,engineering leadership and management suite 5,engineering leadership suite 3,engineering technical support suite 2 2007,engineering technical support suite 3 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3,0.543,"inspectors of health, social care, children and young peoples services",leadership and management for care services,long term conditions case management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,0.551,construction plant or machinery maintenance,demolition construction,plant installation construction,plant operations construction,plant operations extractives,road building and maintenance,treatment processing and control in the water industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2,0.553,sport and play surfaces level 2,sport and play surfaces level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,0.56,fibreboard operations,multi utility management skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3,0.564,branch management and business and customer commercial relationship management,financial services sales process,land based operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,0.567,mechanical fire protection,securing void properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,13,0.57,building services engineering technology and project management,built environment design and consultancy practice,construction contracting operations management,construction senior management,construction site management,construction site supervision,electrotechnical services electrotechnical technology and project management,industrial design,integrated logistic support ils management suite 4 2003,occupational work supervision construction,"project control, estimating, planning and cost engineering",project management,site inspection,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4,0.571,leisure management,leisure management l3 2005,managing sport and active leisure 2006,outdoor sector senior roles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,0.578,investment operations,investment strategy and management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,8,0.58,electricity network control engineer,gas network construction,gas networks engineering management,leakage detection and control,multi utility network construction,network construction operations,utilities network planning and management,utility infrastructure management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,9,0.589,building products leadership,emergency fire services management,expedition leadership and management,financial services core competences,"health, safety and environmental management in the extractive and mineral processing industries",management and leadership,managing in road passenger transport,professional skills for government psg,watch management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,39,0.596,accessing operations and rigging construction,applied waterproof membranes construction,associated industrial services occupations construction,building maintenance multi trade repair and refurbishment operations,chimney engineering construction,cladding occupations construction,construction and civil engineering operations,construction design management coordination level 4 nos,construction operations and civil engineering services construction,construction operations construction,construction using off site manufactured assemblies,decorative finishing and industrial painting occupations construction,erection of precast concrete construction,floorcovering occupations construction,heritage skills construction,highways maintenance construction,innovative modern methods of construction,insulation and building treatments construction,interior systems construction,mastic asphalt construction,plastering construction,post tensioning operations construction,refractory installation construction,removal of hazardous and non hazardous waste construction,roofing occupations construction,senior crafts construction,site logistics operations construction,specialist concrete occupations,specialist concrete occupations construction,specialist installation occupations construction,stonemasonry construction,sub structure work occupations construction,super structure work occupations construction,trowel occupations construction,tunnelling operations construction,wall and floor tiling construction,waterproof membrane roofing systems,waterproof membrane roofing systems construction,wood occupations construction
29,2,0.606,construction diving operations,controlling lifting operations construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,0.614,combined working practices,polymer processing and related operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,0.616,bank accounts,customer payments for financial products and services,"life, pensions and investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,0.652,down stream gas,integrated systems engineering,mechanical engineering services,oil fired technical services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,0.654,formwork construction,wood merchants,wood preserving industrial pre treatment construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,0.677,business continuity management 2014,risk management for the financial sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,1.0,rail operations supervisory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,1.0,explosive substances and articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,1.0,bulk explosive truck operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,1.0,utilities control centre operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,1.0,offshore wind and marine installation and commissioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,1.0,management of volunteers 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,1.0,marketing 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,1.0,security and loss prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,1.0,activity leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,1.0,confined spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,1.0,managing justice sector services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,1.0,mines management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,1.0,systems operations and management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
