,lenght,avg dist,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
50,1,1.0,accountancy and finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1.0,production of glass supporting fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1.0,air tightness testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1.0,performing building products operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1.0,metal decking and stud welding occupations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1.0,engineering surveying operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1.0,electrotechnical services approved electrician status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,1.0,electrotechnical services instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,1.0,"installation of domestic fascias, soffits and bargeboards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,1.0,bus and coach engineering and maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,1.0,land based engineering operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,1.0,installing plant and systems small bore tubing occupations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,1.0,piling operations construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,1.0,"solid surface fabrication, installation and templating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,1.0,fencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,1.0,solar thermal photovoltaic panel installation and surveying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,1.0,anti money laundering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,1.0,countering financial crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,1.0,agricultural management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,1.0,fisheries management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,1.0,providing advice on savings for retirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,1.0,generic financial advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,1.0,grips and crane technicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,1.0,mechanical ride operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
