NOS file name,Status as per ActiveIS,Status extracted from pdf
assess-the-configuration-of-metered-areas-eusldc1.pdf,original,imported
astaa1.pdf,original,imported
astag12.pdf,original,imported
astb6.pdf,original,imported
astbus301.pdf,original,imported
astbus302.pdf,original,imported
astbus406.pdf,original,imported
astbus408.pdf,original,imported
astbus410.pdf,original,imported
astbus412.pdf,original,imported
astcs31.pdf,original,imported
astd2.pdf,original,imported
astd6.pdf,original,imported
astd7.pdf,original,imported
aste1.pdf,original,imported
astf6.pdf,original,imported
astf9.pdf,original,imported
astfm306.pdf,original,imported
astfm307.pdf,original,imported
astfm310.pdf,original,imported
astfm311.pdf,original,imported
astfm313.pdf,original,imported
astfm315.pdf,original,imported
astfm316.pdf,original,imported
astfm317.pdf,original,imported
astfm318.pdf,original,imported
astfm319.pdf,original,imported
asth02.pdf,original,tailored
asth302.pdf,original,imported
asth315.pdf,original,imported
asth324 x.pdf,original,imported
asth326.pdf,original,imported
asth401.pdf,original,imported
asth405.pdf,original,imported
asth416.pdf,original,imported
asth417.pdf,original,imported
asth418.pdf,original,imported
asth419.pdf,original,imported
asth420.pdf,original,imported
asthss7.pdf,original,tailored
astipc13.pdf,original,imported
astll1.pdf,original,tailored
astll10.pdf,original,tailored
astll3.pdf,original,tailored
astll5.pdf,original,tailored
astll7.pdf,original,tailored
astll8.pdf,original,tailored
astll9.pdf,original,tailored
astpc216.pdf,original,tailored
astpssf1.pdf,original,imported
astpssf2.pdf,original,imported
astpssf3.pdf,original,imported
astpssf4.pdf,original,imported
astrbm14.pdf,original,imported
astrbm15.pdf,original,imported
astrbm22.pdf,original,imported
astrl10.pdf,original,tailored
astrl11.pdf,original,tailored
astrl4.pdf,original,tailored
astrl7.pdf,original,tailored
astsal15.pdf,original,imported
astsal18.pdf,original,imported
astslp13.pdf,original,tailored
astslp15.pdf,original,tailored
astsrp1.pdf,original,imported
ccsba105.pdf,original,imported
ccsca19l.pdf,original,tailored
ccsccs15l.pdf,original,tailored
ccsccs16l.pdf,original,tailored
ccsccs19.pdf,original,empty
ccsccs22.pdf,original,tailored
ccsccs28.pdf,original,tailored
ccsccs29.pdf,original,tailored
ccsccs30.pdf,original,tailored
ccsccs31.pdf,original,tailored
ccsccs33.pdf,original,tailored
