SOC Code,NOS count,Occupation
2122,1668,Mechanical engineers
8111,615,"Food, drink and tobacco process operatives"
8114,460,Chemical and related process operatives
3417,360,"Photographers, audio-visual and broadcasting equipment operators"
3416,342,"Arts officers, producers and directors"
6139,310,Animal care services occupations n.e.c.
4112,284,National government administrative occupations
9241,258,Security guards and related occupations
8149,247,Construction operatives n.e.c.
7111,236,Sales and retail assistants
2423,230,Management consultants and business analysts
5119,217,Agricultural and fishing trades n.e.c.
5434,216,Chefs
3111,193,Laboratory technicians
3239,186,Welfare and housing associate professionals n.e.c.
1161,186,Managers and directors in transport and distribution
3534,178,Finance and investment analysts and advisers
5441,160,"Glass and ceramics makers, decorators and finishers"
3565,157,Inspectors of standards and regulations
5231,153,"Vehicle technicians, mechanics and electricians"
1190,152,Managers and directors in retail and wholesale
4133,150,Stock control clerks and assistants
1251,146,"Property, housing and estate managers"
5319,134,Construction and building trades n.e.c.
2443,123,Probation officers
5314,118,Plumbers and heating and ventilating engineers
5449,117,Other skilled trades n.e.c.
8121,116,Paper and wood machine operatives
1132,113,Marketing and sales directors
5223,111,Metal working production and maintenance fitters
4159,109,Other administrative occupations n.e.c.
3422,108,"Product, clothing and related designers"
1259,106,Managers and proprietors in other services n.e.c.
1170,103,NA
8211,102,Large goods vehicle drivers
9235,101,Refuse and salvage occupations
6240,100,Cleaning and housekeeping managers and supervisors
3442,97,"Sports coaches, instructors and officials"
3314,94,Prison service officers (below principal officer)
4114,94,Officers of non-governmental organisations
9260,91,Elementary storage occupations
6222,90,Beauticians and related occupations
3533,88,Insurance underwriters
3567,88,Health and safety officers
2419,87,Legal professionals n.e.c.
5232,84,Vehicle body builders and repairers 
6221,83,Hairdressers and barbers
5422,78,Printers
2436,78,Construction project managers and related professionals
5312,77,Bricklayers and masons
1139,77,Functional managers and directors n.e.c.
2429,76,"Business, research and administrative professionals n.e.c."
4132,74,Pensions and insurance clerks and assistants
7219,73,Customer service occupations n.e.c.
5431,73,Butchers
4113,72,Local government administrative occupations
7125,72,Merchandisers and window dressers
5442,71,Furniture makers and other craft woodworkers
7115,66,Vehicle and parts salespersons and advisers
3113,65,Engineering technicians
3114,62,Building and civil engineering technicians
4216,62,Receptionists
8122,60,Coal mine operatives
7129,60,Sales related occupations n.e.c.
5249,60,Electrical and electronic trades n.e.c.
3543,59,Marketing associate professionals
9242,59,Parking and civil enforcement occupations
1150,57,Financial institution managers and directors
3415,56,Musicians
2114,55,Social and humanities scientists
8233,54,Air transport operatives
5330,54,Construction and building trades supervisors
5315,54,Carpenters and joiners
9273,53,Waiters and waitresses
3234,52,Housing officers
2471,51,"Journalists, newspaper and periodical editors"
3561,51,Public services associate professionals
5313,50,"Roofers, roof tilers and slaters"
2142,50,Environment professionals
8213,49,Bus and coach drivers
3411,48,Artists
5241,48,Electricians and electrical fitters
8234,47,Rail transport operatives
3443,47,Fitness instructors
9279,46,Other elementary services occupations n.e.c.
8135,46,"Tyre, exhaust and windscreen fitters"
3313,45,Fire service officers (watch manager and below)
1255,45,Waste disposal and environmental services managers
3545,43,Sales accounts and business development managers
8112,43,Glass and ceramics process operatives
2431,43,Architects
9275,43,Leisure and theme park attendants
7211,41,Call and contact centre occupations
3562,41,Human resources and industrial relations officers
5316,41,"Glaziers, window fabricators and fitters"
6123,41,Playworkers
9219,40,Elementary administration occupations n.e.c.
2432,40,Town planning officers
5412,40,Upholsterers
5322,39,Floorers and wall tilers
3421,39,Graphic designers
2136,38,Programmers and software development professionals
