,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,facilitating the personal development of athletes and players,facilitating the personal development of athletes and players’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,business continuity management 2013,business continuity management 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,fire and rescue addressing wildfire incidents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,contact centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,residential landlords,residential property letting and management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,administration for mortgage and or financial planning intermediaries,paraplanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,african type hair barbering standards,african type hair hairdressing standards,barbering,barbering 2008,costume,hair and make up,hairdressing,hairdressing 2008,hairdressing and barbering,"technical theatre and live performance wardrobe, hair and makeup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,freelance unit,generic units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,handbinding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,equine,equine 2011,equine barefoot care,equine dental care,farriery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,agricultural management,livestock production,supply chain management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,animal care and welfare,animal care management,animal care v2,animal technology,animal training,custodial care,"livestock production, crofters and smallholders",security dog handling,security dog handling 2009,veterinary nursing and auxiliary services,veterinary paraprofessional activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,offshore wind and marine installation and commissioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,craft ceramics,manufacturing ceramics,performing building products operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,aquaculture,fish and shellfish operations,fish and shellfish processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,fisheries management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,brewing,distilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,crofters and smallholders,gambling operations,game and wildlife management,gamekeeping and wildlife management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,fibreboard operations,fresh produce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,achieving food manufacturing excellence,dairy,engineering maintenance in food manufacture,food business growth and development,food business marketing and customer service,food business operational management,food business resource development,food business strategic leadership,food production and cooking,food retail and service in food manufacture,food safety,food safety for manufacturing,food safety in a logistics environment,food technology,"health, safety and the environment in food manufacture",hospitality food and beverage service,hospitality generics,hospitality management,hospitality professional cookery,hospitality quick service,hospitality supervision and leadership,meat and poultry processing,milling and cereals,product development,product development in food manufacture,production and control operations in food manufacture,production management,quality and improvement in food and drink operations,quality and improvements in food manufacture,stock and despatch in food and drink operations,support operations in food and drink operations,support operations in food manufacture,,,,,,,,,,,,,,,,
21,automated bakery,automated baking,craft bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,sweet confectionery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,wine making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,drinks dispense systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ionising radiation measurement instrumentation,nuclear decommissioning,radiation protection,radiopharmacy,safety case preparation,transportation of radioactive materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,nuclear material accountancy and safeguards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,cash processing operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,explosive substances and articles,explosives substances and articles suite 3 2009,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,mail handling security,mail services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,bioinformatics,laboratory and associated technical activities suite 2,laboratory and associated technical activities suite 2 2010,laboratory and associated technical activities suite 3 2010,laboratory and associated technical activities suite 4 2010,laboratory science suite 2 2009,laboratory science suite 3 2008,laboratory science suite 3 2009,laboratory science suite 4 2009,life sciences 2013,life sciences and related industries 2,life sciences and related industries 3,scientific quality operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,lean npdi suite 4 2006,performing manufacturing operations suite 2,qualified person medical products,scientific manufacture suite 2 2009,scientific manufacture suite 3 2009,scientific manufacture suite 4 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,health economists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,aeronautical engineering suite 2,aeronautical engineering suite 3,aviation ground security operations,aviation operations in the air cabin crew,aviation operations on the ground,continuing airworthiness suite 2,continuing airworthiness suite 4,flight deck,flight deck crew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,broadcast engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
