,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
35,weather forecasting and observing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,customer service occupations,engineering leadership and management suite 3,it users,it users 6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,blacksmithing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,expediting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,multi utility network operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,welding pipework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,accident repair joining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,clock and watch servicing suite 2 2007,clock and watch servicing suite 3 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,technical theatre and live performance stage technician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,mine ventilation and ground control engineering,mine ventilation and ground control engineering operations,mines management,mines rescue operations,supervision of underground mining operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,confined spaces,core fire and rescue,emergency response,policing and law enforcement 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,maintenance and repair caravans and motorhomes,operational services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,pool plant operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,anaerobic digestion,systems operations and management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,live events and promotion,offshore crane operations,offshore deck operations,power transmission and distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,advanced wood occupations,formwork construction,sawmilling,wood merchants,wood preserving industrial pre treatment construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,engineered wood,treework,wood fuel,wood processing,wood products manufacturing,wood technology,wood treatment and preservation,woodmachining construction sawmilling extrusion furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,agricultural crop production,horticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"health, safety and environmental management in the extractive and mineral processing industries",recycling activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,construction plant or machinery maintenance,construction site management,construction site supervision,controlling lifting operations construction,demolition construction,downstream operations,drilling operations,mining operations,nuclear operations,occupational work supervision construction,operating process plant,piling operations construction,plant installation construction,plant maintenance construction,plant operations construction,plant operations extractives,processing industries operations,processing operations for the extractive and mineral processing industries,processing operations hydrocarbons,processing operations hydrocarbons control room,road building and maintenance,stagehands,treatment process operations,treatment processing and control in the water industry,winter service,,,,,,,,,,,,,,,,,,,,,,,
55,floristry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,electrotechnical services approved electrician status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,erection of precast concrete construction,precast and prestressed concrete operations,precast concrete operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,metal decking and stud welding occupations,steelfixing construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"access operations and rigging broadcast, film and video",accessing operations and rigging construction,applied waterproof membranes construction,associated industrial services occupations construction,building maintenance multi trade repair and refurbishment operations,carving occupations,chimney engineering construction,cladding occupations construction,construction and civil engineering operations,construction design management coordination level 4 nos,construction diving operations,construction operations,construction operations and civil engineering services construction,construction operations construction,construction using off site manufactured assemblies,decorative finishing and industrial painting occupations construction,dimension stone,floorcovering occupations construction,heritage skills construction,highways maintenance construction,innovative modern methods of construction,insulation and building treatments construction,interior systems construction,mastic asphalt construction,plastering construction,post tensioning operations construction,refractory installation construction,removal of hazardous and non hazardous waste construction,roofing occupations construction,senior crafts construction,set crafts,site logistics operations construction,solar thermal photovoltaic panel installation and surveying,specialist concrete occupations,specialist concrete occupations construction,specialist concrete operations construction,specialist installation occupations construction,stonemasonry construction,sub structure work occupations construction,super structure work occupations construction,"testing, inspecting and thorough examination occupations",thermal insulation construction,trowel occupations construction,tunnelling operations construction,wall and floor tiling construction,waterproof membrane roofing systems,waterproof membrane roofing systems construction,wood occupations construction
60,bulk liquid operations,jetty operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,floating production and storage offload fpso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,offshore drilling operations,tubing operations,well services mechanical wireline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,h2s and other hazardous gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,cleaning and support services 2009,hospitality housekeeping and front of house reception,housekeeping and front office,property caretaking facilities services,specialist cleaning,support services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,infection prevention and control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"solid surface fabrication, installation and templating",sport and play surfaces level 2,sport and play surfaces level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,producing surface coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,man made fibres,polymer processing and related operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,composite engineering suite 2,composite engineering suite 3,fabrication and welding suite 3,leisure vehicle composite component manufacture,materials processing and finishing suite 2 and 3 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,fitted interiors construction,"kitchen, bedroom and bathroom design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,finishing furniture,furniture making,furniture restoration and service repair,"furniture, furnishings and interiors",soft furnishings,upholstery and soft furnishings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,apparel manufacturing technology,apparel manufacturing technologykey wordsapparel,bespoke cutting and tailoring,heritage,laundry and dry cleaning,"laundry, wet and dry cleaning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"jewellery manufacture, silversmithing and allied trade",materials processing and finishing suite 2,materials processing and finishing suite 3,metal processing and allied operations suite 2,metal processing and allied operations suite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,carton manufacture,combined working practices,digital print production,engineering toolmaking level 3,engineering toolmaking suite 3,engineering toolmaking suite 3 2005,"engineering woodworking, pattern and model making suite 3 2002",envelope manufacture,envelope manufacturing,fabrication and welding engineering suite 3,fabrication and welding suite 2,footwear and leathergoods,leisure vehicle component manufacture,machine printing,"machine printing, carton manufacture",manufacturing sewn products,marine engineering,marine engineering suite 2,marine engineering suite 3,master printer,mechanical manufacturing engineering suite 2 2008,mechanical manufacturing engineering suite 3 2008,paper manufacturing,performing engineering operations suite 1,performing engineering operations suite 2,print administration,print finishing,proskills,,,,,,,,,,,,,,,,,,,,
75,electrical systems in petrol stations,forecourt operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,electricity power utilities,gas network construction,gas network operations,multi utility network construction,network construction operations,sewerage maintenance,utility infrastructure management,utility metering,wind turbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,business information,electricity network control engineer,gas networks engineering management,leakage detection and control,maintain water supply network,multi utility management skills,multi utility network design,utilities network planning and management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,locksmithing,measurement processes,rehabilitation technical services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,common standards for the engineering construction industry,installing plant and systems small bore tubing occupations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,condition monitoring,constructing capital plant steel structures erecting,design and draughting,engineering and manufacture suite 4,engineering leadership and management suite 4,engineering leadership and management suite 5,engineering leadership suite 3,engineering surveying operations,engineering technical support suite 2 2007,engineering technical support suite 3 2009,fabricating steel structures plating,"installation, testing and commissioning of electrical systems and equipment plant",installing plant and systems mechanical,installing plant and systems pipefitting,integrated systems engineering,maintaining plant and systems electrical,maintaining plant and systems instrument and controls,maintaining plant and systems mechanical,monitoring engineering construction activities,moving loads,non destructive testing,onsite machining,original,performing engineering operations suite 1 2006,performing engineering operations suite 2 2006,process engineering maintenance,supporting activities in engineering construction,tray fitting tower and column internals,welding plate and pipework,welding supervision,,,,,,,,,,,,,,,,,,
81,offshore s1971 elected safety representatives,oil fired technical services,safety services oil and gas extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,electrical and electronic engineering suite 3,electrical and electronic engineering suite 3 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,rail engineering,rail engineering signalling suite 2,rail engineering signalling suite 3,rail engineering telecoms suite 2,rail engineering telecoms suite 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,air conditioning,domestic plumbing and heating,electrotechnical,heating and ventilating,installing environmental technology systems,plumbing and domestic heating,refrigeration and air conditioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,consumer electrical and electronic products,"domestic natural gas, installation and maintenance",down stream gas,electrical and electronic servicing,electricity smart metering,electronic security systems,electrotechnical services,electrotechnical services instrumentation,engineering maintenance and installation suite 2 2008,engineering maintenance suite 3 2008,ensuring the compliance of electrical installation work in dwellings with the building regulations england and wales,"fenestration, installation","fenestration, installation and surveying",industrial and commercial gas utilisation,installation and commissioning suite 3,installation and commissioning suite 3 2003,"installation of domestic fascias, soffits and bargeboards",installing and maintaining audio systems,lpg installation and maintenance,mechanical engineering services,mine surveying operations,physical security,rail engineering overhead line equipment construction suite 2,rail engineering overhead line equipment construction suite 3,rail engineering traction and rolling stock suite 2,rail engineering traction and rolling stock suite 3,securing void properties,smart metering,,,,,,,,,,,,,,,,,,,,
86,fencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,automotive glazing,craft glass,glass manufacturing,glass processing,glass related operations,glazing,production of glass supporting fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,harbour masters,marine aggregate extraction,marine pilots,maritime,port security operations,supervision of port operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,courier,land based management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,temporary traffic management construction,traffic management,vessel traffc services operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,road building construction,transportation of petro chemicals by road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,community wardens 2007,water fittings regulations byelaws enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,keyholding and response,keyholding and response 2008,security and loss prevention 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,blasting operations,bulk explosive truck operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"supervising hire and rental operations equipment, plant and tools",vehicle hire and rental,vehicle rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,maintenance and repair heavy vehicle trailer,maintenance and repair lift truck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,passenger carrying vehicle driving bus and coach,rail operations supervisory,rail services,road passenger transport operations,road passenger vehicle driving,uk waterways passenger services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,abnormal load escorting,accident repair body,"accident repair mechanical, electrical and trim",accident repair paint,accident repair smart cosmetic,accident repair smart pdr,auto electrical and mobile electrical installation,automotive engineering suite 3,body building,driver training,driving goods vehicles,electric and hybrid vehicles,frontline environmental services,funeral services,information destruction operations,large goods vehicle driving instruction,leisure vehicle building,maintenance and repair heavy vehicle,maintenance and repair light vehicle,motor vehicle valeting,motorsport,parking control occupations,providing cash and valuables in transit services,rental and leasing maintenance advisors,roadside assistance,statutory periodic road worthiness test,stock and despatch in food manufacture,traffic office,vehicle damage assessment operations,vehicle fitting,vehicle parts operations,vehicle parts operations v3,vehicle recovery,vehicle sales v3,waste management,weighbridge operations,,,,,,,,,,,,
99,maintenance and repair motorcycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,bidding and tendering,bidding and tendering 2013,sports development l2 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2010 incremental change to the nos in interpreting,explosives substance and articles key role 10 2009,interpreting,lipspeaking,speech to text reporting,translation revised 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,intercultural working standards for working with people from different countries and diverse cultures,languages 2013,uk occupational language standards 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,nail services,nail services 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,dysphagia,endoscopy,police custody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"emergency, urgent and scheduled care",falls and osteoporosis,gambling related harm workforce gamnos,long term conditions neurological care,operational delivery public services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,stroke and transient ischaemic attack tia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,maternity and care of the newborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,breast screening and assessment,clinical imaging,diabetic retinopathy,photo imaging,signmaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,blood donor support.,clinical health skills,cystoscopy and prostate biopsy,decontamination,dental nursing,dental technology,healthcare science,patient education,perioperative care support,renal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,supportive and palliative care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,complementary therapies and healthcare,coronary heart disease,drugs and alcohol,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,cardiovascular disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,beauty therapy,beauty therapy 2009,beauty therapy advanced practices,distribution control,pest control,pest management,radiotherapy,spa therapy,spa therapy 2009,teleadvice,waste resource operations management,water treatment management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,chemotherapy,complementary and natural healthcare,psychological therapies,sports therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,counselling national occupational standards v4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,allergy services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,continence care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,advice and guidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,career development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"information and library services, archive services and records management",learner involvement,learning and development 2010,learning delivery,learning support staff,personal tutoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,trade union representatives and professional,tuc core trade union role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,campaigning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,prevention and management of violence in the workplace 2013,prevention and management of work related violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,custodial healthcare,older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,addressing and responding to honour based violence,addressing modern slavery,addressing stalking,community justice,precognition operatives,preventing and addressing domestic violence and abuse,preventing and tackling domestic and or sexual abuse violence,providing independent sexual violence advice and advocacy,public protection,witness care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,youth work,youth work 2010 v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,maintaining a healthy weight,promoting physical activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,democratic services,"inspectors of health, social care, children and young peoples services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,work with parents,work with parents v2 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,children and young peoples workforce,children and young people’s health services,childrens services,children’s care learning and development,diabetes,family learning,family learning v2 2010,forensic mental health,general healthcare,genetics and genomics,health and social care,leadership and management for care services,learning development support services reviewed 2009,mental health,playwork,sensory services,social work,supporting teaching and learning in schools,youth justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,common core national occupational standards for the security industry,common standards across the justice sector,skills for security essential employability,trading standards and environmental health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"commissioning, procurement and contracting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,housing,strategic housing,supported housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,financial services sales process,health protection,long term conditions case management,public health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,community fire safety,fire and rescue operations in the community,fire rescue sector control operations,fire rescue sector control operations 2007,fire safety,mechanical fire protection,operations in the community,watch management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,civil contingencies,"commissioning, procurement and contracting for care services",community development,community development 2009,community learning and development v2 2010,community wardens,leisure management,"libraries, archives, records and information management services",managing justice sector services,sports development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,achieving excellence in sports performance,achieving excellence in sports performance inc change june 2007,leisure management l3 2005,ma,managing sport and active leisure,managing sport and active leisure 2006,officiating elite,officiating level 2,officiating level 3,sport and exercise science,sport and physical activity administration and governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,activity leadership,activity leadership l2 2002,"coaching, teaching and instructing l2 2002",exercise and fitness,instructing exercise and fitness,instructing physical activity and exercise,instructing physical activity and exercise 2009,outdoor programmes,personal training,physical activity and health,restorative practice,sport and active leisure,sports coaching,sports coaching level 2,sports coaching level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,bus and coach engineering and maintenance,coaching and mentoring,coaching and mentoring in a work environment,mentoring and befriending of offenders and those at risk of offending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,coaching and mentoring in a work environment v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,dance leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,business support on structured business formats,domestic energy assessors national occupational standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,wood and timber merchants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,building products leadership,workforce planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,home inspectors,sale of residential property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,air conditioning energy assessment,air tightness testing,commercial energy advice,energy advisers,environmental awareness and management,facilities management,green deal energy advice,non domestic energy advisors,non domestic energy assessors,"nos for the production of ors, decs and ars",older traditional and vulnerable building energy efficiency measures,on construction domestic energy assessors,sustainable business practice,sustainable food production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,metal processing and allied operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,customer service 2010,customer service 2013,supporting public services pssf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,recruitment,supported employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,human resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,generic financial advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,providing advice on savings for retirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
