,Validity,Validity_2
assess-the-configuration-of-metered-areas-eusldc1.pdf,current,legacy
astfm311.pdf,legacy,current
astfm503.pdf,legacy,current
astfm505.pdf,legacy,current
astfm506.pdf,legacy,current
astfm510.pdf,legacy,current
astfm514.pdf,legacy,current
astfm516.pdf,legacy,current
ccsca10l.pdf,legacy,current
ccsca11l.pdf,legacy,current
ccsca12l.pdf,legacy,current
ccsca14l.pdf,legacy,current
ccsca15l.pdf,legacy,current
ccsca16l.pdf,legacy,current
ccsca17l.pdf,legacy,current
ccsca18l.pdf,legacy,current
ccsca19l.pdf,legacy,current
ccsca1l.pdf,legacy,current
ccsca20l.pdf,legacy,current
ccsca21l.pdf,legacy,current
ccsca22l.pdf,legacy,current
ccsca23l.pdf,legacy,current
ccsca24l.pdf,legacy,current
ccsca25l.pdf,legacy,current
ccsca26l.pdf,legacy,current
ccsca27l.pdf,legacy,current
ccsca28l.pdf,legacy,current
ccsca2l.pdf,legacy,current
ccsca3l.pdf,legacy,current
ccsca4l.pdf,legacy,current
ccsca5l.pdf,legacy,current
ccsca6l.pdf,legacy,current
ccsca7l.pdf,legacy,current
ccsca8l.pdf,legacy,current
ccsca9l.pdf,legacy,current
ccsccs10l.pdf,legacy,current
ccsccs11l.pdf,legacy,current
ccsccs12l.pdf,legacy,current
ccsccs13l.pdf,legacy,current
ccsccs14l.pdf,legacy,current
ccsccs15l.pdf,legacy,current
ccsccs16l.pdf,legacy,current
ccsccs17l.pdf,legacy,current
ccsccs18l.pdf,legacy,current
ccsccs1l.pdf,legacy,current
ccsccs2l.pdf,legacy,current
ccsccs3l.pdf,legacy,current
ccsccs4l.pdf,legacy,current
ccsccs7l.pdf,legacy,current
ccsccs8l.pdf,legacy,current
ccscv10l.pdf,legacy,current
ccscv11l.pdf,legacy,current
ccscv12l.pdf,legacy,current
ccscv13l.pdf,legacy,current
ccscv14l.pdf,legacy,current
ccscv15l.pdf,legacy,current
ccscv16l.pdf,legacy,current
ccscv17l.pdf,legacy,current
ccscv18l.pdf,legacy,current
ccscv19l.pdf,legacy,current
ccscv1l.pdf,legacy,current
ccscv20l.pdf,legacy,current
ccscv21l.pdf,legacy,current
ccscv22l.pdf,legacy,current
ccscv23l.pdf,legacy,current
ccscv24l.pdf,legacy,current
ccscv25l.pdf,legacy,current
ccscv26l.pdf,legacy,current
ccscv27l.pdf,legacy,current
ccscv2l.pdf,legacy,current
ccscv3l.pdf,legacy,current
ccscv4l.pdf,legacy,current
ccscv7l.pdf,legacy,current
ccscv8l.pdf,legacy,current
ccscv9l.pdf,legacy,current
ccsle11l.pdf,legacy,current
ccsle2l.pdf,legacy,current
ccsmt19.pdf,current,empty
ccssl10l.pdf,legacy,current
ccssl11l.pdf,legacy,current
ccssl12l.pdf,legacy,current
ccssl14l.pdf,legacy,current
ccssl15l.pdf,legacy,current
ccssl16l.pdf,legacy,current
ccssl17l.pdf,legacy,current
ccssl18l.pdf,legacy,current
ccssl19l.pdf,legacy,current
ccssl1l.pdf,legacy,current
ccssl20l.pdf,legacy,current
ccssl21l.pdf,legacy,current
ccssl22l.pdf,legacy,current
ccssl23l.pdf,legacy,current
ccssl24l.pdf,legacy,current
ccssl25l.pdf,legacy,current
ccssl26l.pdf,legacy,current
ccssl27l.pdf,legacy,current
ccssl28l.pdf,legacy,current
ccssl29l.pdf,legacy,current
ccssl2l.pdf,legacy,current
ccssl31l.pdf,legacy,current
ccssl32l.pdf,legacy,current
ccssl33l.pdf,legacy,current
ccssl35l.pdf,legacy,current
ccssl36l.pdf,legacy,current
ccssl3l.pdf,legacy,current
ccssl4l.pdf,legacy,current
ccssl5l.pdf,legacy,current
ccssl6l.pdf,legacy,current
ccssl7l.pdf,legacy,current
ccssl8l.pdf,legacy,current
ccssl9l.pdf,legacy,current
ccstp10l.pdf,legacy,current
ccstp11l.pdf,legacy,current
ccstp15l.pdf,legacy,current
ccstp16l.pdf,legacy,current
ccstp17l.pdf,legacy,current
ccstp18l.pdf,legacy,current
ccstp19l.pdf,legacy,current
ccstp20l.pdf,legacy,current
ccstp22l.pdf,legacy,current
ccstp24l.pdf,legacy,current
ccstp25l.pdf,legacy,current
ccstp26l.pdf,legacy,current
ccstp27l.pdf,legacy,current
ccstp28l.pdf,legacy,current
ccstp29l.pdf,legacy,current
ccstp2l.pdf,legacy,current
ccstp30l.pdf,legacy,current
ccstp31l.pdf,legacy,current
ccstp32l.pdf,legacy,current
ccstp33l.pdf,legacy,current
ccstp34l.pdf,legacy,current
ccstp35l.pdf,legacy,current
ccstp36l.pdf,legacy,current
ccstp37l.pdf,legacy,current
ccstp38l.pdf,legacy,current
ccstp39l.pdf,legacy,current
ccstp3l.pdf,legacy,current
ccstp40l.pdf,legacy,current
ccstp41l.pdf,legacy,current
ccstp42l.pdf,legacy,current
ccstp43l.pdf,legacy,current
ccstp44l.pdf,legacy,current
ccstp45l.pdf,legacy,current
ccstp46l.pdf,legacy,current
ccstp47l.pdf,legacy,current
ccstp48l.pdf,legacy,current
ccstp49l.pdf,legacy,current
ccstp4l.pdf,legacy,current
ccstp50l.pdf,legacy,current
ccstp51l.pdf,legacy,current
ccstp52l.pdf,legacy,current
ccstp53l.pdf,legacy,current
ccstp54l.pdf,legacy,current
ccstp55l.pdf,legacy,current
ccstp5l.pdf,legacy,current
ccstp60l.pdf,legacy,current
ccstp62l.pdf,legacy,current
ccstp66l.pdf,legacy,current
ccstp67l.pdf,legacy,current
ccstp68l.pdf,legacy,current
ccstp69l.pdf,legacy,current
ccstp71l.pdf,legacy,current
ccstp72l.pdf,legacy,current
ccstp73l.pdf,legacy,current
cfabes010l.pdf,legacy,current
cfabi3l.pdf,legacy,current
cfabi4l.pdf,legacy,current
cfabi5l.pdf,legacy,current
cfabi6l.pdf,legacy,current
cfabi7l.pdf,legacy,current
cfabi8l.pdf,legacy,current
cfablg3l.pdf,legacy,current
cfablg4l.pdf,legacy,current
cfablg5l.pdf,legacy,current
cfam1.3.3l.pdf,legacy,current
cfam7.4.2l.pdf,legacy,current
cfaop1l.pdf,legacy,current
cfas1.2l.pdf,legacy,current
cfas1.3l.pdf,legacy,current
cfas2.1l.pdf,legacy,current
cfas2.2l.pdf,legacy,current
cfas2.3l.pdf,legacy,current
cfas2.4l.pdf,legacy,current
cfas2.5l.pdf,legacy,current
cfas2.7l.pdf,legacy,current
cfas2.8l.pdf,legacy,current
cfas2.9l.pdf,legacy,current
cfas3.1l.pdf,legacy,current
cfas3.2l.pdf,legacy,current
cfas3.3l.pdf,legacy,current
cfas3.4l.pdf,legacy,current
cfas4.1l.pdf,legacy,current
cfas4.3l.pdf,legacy,current
cfas4.4l.pdf,legacy,current
cfas4.6l.pdf,legacy,current
cfas4.7l.pdf,legacy,current
cfas4.8l.pdf,legacy,current
cfas4.9l.pdf,legacy,current
cfas5.2l.pdf,legacy,current
cfas5.3l.pdf,legacy,current
cfas5.4l.pdf,legacy,current
cfas5.5l.pdf,legacy,current
cfas6.1l.pdf,legacy,current
cfas6.2l.pdf,legacy,current
cfas6.3l.pdf,legacy,current
cfas6.4l.pdf,legacy,current
cfas7.1l.pdf,legacy,current
cfas7.2l.pdf,legacy,current
cfas7.3l.pdf,legacy,current
cfas7.4l.pdf,legacy,current
cfas7.5l.pdf,legacy,current
cfas7.6l.pdf,legacy,current
cfas7.7l.pdf,legacy,current
cfas7.8l.pdf,legacy,current
cfas8.2l.pdf,legacy,current
cfas8.4l.pdf,legacy,current
cfas8.5l.pdf,legacy,current
cfas9.3l.pdf,legacy,current
cfas9.4l.pdf,legacy,current
cfas9.5l.pdf,legacy,current
cfas9.6l.pdf,legacy,current
cfas9.7l.pdf,legacy,current
cogdo13.pdf,legacy,current
cogdo14.pdf,legacy,current
cogdo18.pdf,legacy,current
cogdo26.pdf,legacy,current
cogdo28.pdf,legacy,current
cogdo7.pdf,legacy,current
cogdo8.pdf,legacy,current
cogdo9.pdf,legacy,current
cogls207.pdf,current,empty
cogls209.pdf,current,empty
cogls215.pdf,current,empty
