Suite 1,Suite 2,Suite 3,Suite 4
accessing operations and rigging (construction),"accessing operations and rigging 
(construction)",,
accident repair – joining,accident repair - joining,,
accident repair – paint,accident repair - paint,,
animal care and welfare,"animal care and 
welfare",,
auto electrical & mobile electrical installation,auto electrical and mobile electrical installation,,
"building maintenance multi-trade repair 
and refurbishment operations",building maintenance multi-trade repair and refurbishment operations,building maintenance multi-trades repair and refurbishment operations,
building services engineering technology and project management,building services engineering technology & project management,,
business & administration (2013,business & administration (2013),business and administration (2013),
business-improvement techniques suite 4,business improvement techniques suite 4,,
community jusitce,community justice,,
construction senior management,construction senior managmement,construction senior managemnet,
consumer electrical & electronic products,consumer electrical and electronic products,,
craft (ceramics),craft ceramics,,
craft (clock & watch service and repair),craft (clock and watch service and repair),,
crofters and small holders,crofters and smallholders,,
"cultural 
and heritage venue management",cultural and heritage venue management,cultural & heritage venue management,
"customer service 
occupations",customer service occupations,,
digital production skills,digital productions skills,digitial production skills,
domestic plumbing & heating,plumbing and domestic heating,plumbing & domestic heating,
equine:,equine,,
erection of precast concrete (construction),erection of pre-cast concrete (construction),,
fenestration installation & surveying,fenestration installation and surveying,fenestration and installation surveying,"fenestration, installation and surveying"
food production & cooking,food production and cooking,,
"footwear, leathergoods & leather production","footwear, leathergoods and leather production",,
game & wildlife management,game and wildlife management,,
gamekeeping and wildlife management,"gamekeeping and wildlife 
management",,
hair and make up,hair & make-up,,
"health, safety and the environment in food manufacture","health, safety & the environment in food manufacture",,
heating & ventilating,heating and ventilating,,
hospitality - generics,hospitality generics,,
hospitality - housekeeping and front of house reception,hospitality - housekeeping & front of house reception,,
hospitality supervision and leadership,hospitality supervision & leadership,,
innovative modern/methods of construction,innovative modern methods of construction,innovative/modern methods of construction,
"installation of domestic fascias, soffits and bargeboards","installing domestic fascia, soffit, and bargeboards",,
leakage detection & control,leakage detection and control,,
live events and promotion,live events & promotion,,
local government skills,"local 
government skills",,
maintenance & repair - motorcycle,maintenance and repair - motorcycle,,
maintenance and repair - light vehicle,maintenance & repair - light vehicle,,
meat and poultry processing,meat & poultry processing,,
milling & cereals,milling and cereals,,
multi-utility network construction,multi utility network construction,,
multi-utility network design,multi utility network design,,
nos for it professionals,nos for it professional,,
"nos suite for 
management and business consultancy",nos suite for management and business consultancy,,
plant installations (construction),plant installation (construction),,
processing operations for the extractive and minerals processing industries,processing operations for the extractive and mineral processing industries,,
production & control operations in food manufacture,production and control operations in food manufacture,,
production (film and tv),production (film & tv),,
project mangement,project management,,
providing advice on securities or derivatives in the non-retail market,providing advice on securities/derivatives in the non-retail market,providing advice on securities or derivatives in the retail market,providing advice on securities orderivatives in the retail market
quality & improvements in food manufacture,quality and improvements in food manufacture,,
remote monitorin operations,remote monitoring operations,,
safety services oil & gas extraction,safety services oil and gas extraction,,
security & loss prevention,security and loss prevention,,
site logistics operations (construction),"site 
logistics operations (construction)",,
thermal insulation (construction),"thermal insulation 
(construction)",,
"tunnelling operations 
(construction)",tunnelling operations (construction),,
veterinary nursing and auxillary services,veterinary nursing and auxiliary services,vererinary nursing and auxiliary services,
veterinary paraprofessional activities,veterinary para-professional activities,,
watch management,watch  management,,
water fittings regulations/byelaws enforcement,water fittings regulations byelaws enforcement,,
wind turbine,wind turbines,,
wood preserving industrial pre-treatment (construction),wood preserving – industrial pre-treatment (construction),,
