,Developed By,NOS Title,Suite,SuiteMetadata,Occupations,OccupationsMetadata,Name,Validity,Indicative Review Date,NOS Document Status,URN,SOC Code,NOSCategory,Keywords,Original URN,Created,Modified,Item Type,Path
669,energy & utility skills,determine technical requirements needed to achieve objectives in gas network construction operations,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc015.pdf,current,2021-12-01 00:00:00,original,eus gnc015,,,"gas, network, gas network, technical, technical requirements",eus gnc015,2018-10-05 16:03:15,2019-02-14 11:19:13,item,publishednos
1647,energy & utility skills,determine technical requirements needed to achieve objectives in gas network construction operations,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc015.pdf,current,2021-12-01 00:00:00,original,eus gnc015,5314,core,"gas, network, gas network, technical, technical requirements",eus gnc015,2018-01-31 10:59:24,2019-03-21 12:41:52,item,publishednos-old
668,energy & utility skills,determine resource requirements needed to achieve objectives in gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc016.pdf,current,2021-12-01 00:00:00,original,eus gnc016,,,"gas, network, gas network, resources, procurement, assets",eus gnc016,2018-10-05 16:03:16,2019-02-14 11:19:18,item,publishednos
1646,energy & utility skills,determine resource requirements needed to achieve objectives in gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc016.pdf,current,2021-12-01 00:00:00,original,eus gnc016,5314,core,"gas, network, gas network, resources, procurement, assets",eus gnc016,2018-01-31 10:59:27,2019-03-21 12:42:04,item,publishednos-old
667,energy & utility skills,plan engineering activities for gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc017.pdf,current,2021-12-01 00:00:00,original,eus gnc017,,,"gas, network, gas network, plan, assets",eus gnc017,2018-10-05 16:03:18,2019-02-14 11:19:31,item,publishednos
1645,energy & utility skills,plan engineering activities for gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc017.pdf,current,2021-12-01 00:00:00,original,eus gnc017,5314,core,"gas, network, gas network, plan, assets",eus gnc017,2018-01-31 10:59:28,2019-03-21 12:42:42,item,publishednos-old
1179,energy & utility skills,provide technical information for the design of utility networks,gas networks engineering management,1259;#gas networks engineering management,engineering; building and construction; functional managers; draughtpersons and building inspectors; design and development engineers; design associate professionals; construction trades; building trades,55;#engineering;#10;#building and construction;#15;#functional managers;#564;#draughtpersons and building inspectors;#1631;#design and development engineers;#323;#design associate professionals;#578;#construction trades;#579;#building trades,eusgnem26.pdf,current,2020-12-22 00:00:00,original,eusgnem26,,,"technical documents, principles of design, client specifications, manufacturing specifications",ngnem26,2018-10-05 16:03:41,2018-10-05 16:03:41,item,publishednos
1642,energy & utility skills,provide technical information for the design of utility networks,gas networks engineering management,1259;#gas networks engineering management,engineering; building and construction; functional managers; draughtpersons and building inspectors; design and development engineers; design associate professionals; construction trades; building trades,55;#engineering;#10;#building and construction;#15;#functional managers;#564;#draughtpersons and building inspectors;#1631;#design and development engineers;#323;#design associate professionals;#578;#construction trades;#579;#building trades,eusgnem26.pdf,current,2020-12-22 00:00:00,original,eusgnem26,2139,jobspecific,"technical documents, principles of design, client specifications, manufacturing specifications",ngnem26,2018-02-12 11:47:13,2019-03-21 13:24:40,item,publishednos-old
1176,energy & utility skills,assess factors that impact on utility network designs,multi-utility network design,1258;#multi-utility network design,"engineering; construction, planning and the built environment; draughtpersons and building inspectors; design associate professionals","55;#engineering;#13;#construction, planning and the built environment;#564;#draughtpersons and building inspectors;#323;#design associate professionals",eusmund5.pdf,current,2020-12-01 00:00:00,original,eusmund5,,,"research methods, investigative techniques, risk, interpretation",mund5,2018-10-05 16:03:44,2018-10-05 16:03:45,item,publishednos
1640,energy & utility skills,assess factors that impact on utility network designs,multi-utility network design,1258;#multi-utility network design,"engineering; construction, planning and the built environment; draughtpersons and building inspectors; design associate professionals","55;#engineering;#13;#construction, planning and the built environment;#564;#draughtpersons and building inspectors;#323;#design associate professionals",eusmund5.pdf,current,2020-12-01 00:00:00,original,eusmund5,2139,core,"research methods, investigative techniques, risk, interpretation",mund5,2018-02-12 11:47:17,2019-03-21 14:07:35,item,publishednos-old
1178,energy & utility skills,assess design options for utility networks,multi-utility network design,1258;#multi-utility network design,"construction, planning and the built environment; draughtpersons and building inspectors; engineering; design associate professionals","13;#construction, planning and the built environment;#564;#draughtpersons and building inspectors;#55;#engineering;#323;#design associate professionals",eusmund6.pdf,current,2020-12-22 00:00:00,original,eusmund6,,,"design calculations, design techniques",mund6,2018-10-05 16:03:41,2018-10-05 16:03:41,item,publishednos
1643,energy & utility skills,assess design options for utility networks,multi-utility network design,1258;#multi-utility network design,"construction, planning and the built environment; draughtpersons and building inspectors; engineering; design associate professionals","13;#construction, planning and the built environment;#564;#draughtpersons and building inspectors;#55;#engineering;#323;#design associate professionals",eusmund6.pdf,current,2020-12-22 00:00:00,original,eusmund6,2139,core,"design calculations, design techniques",mund6,2018-02-12 11:47:10,2019-03-21 14:07:55,item,publishednos-old
1177,energy & utility skills,produce detailed drawings to support utility network activities,multi-utility network design,1258;#multi-utility network design,"engineering; construction, planning and the built environment; draughtpersons and building inspectors; design and development engineers; design associate professionals","55;#engineering;#13;#construction, planning and the built environment;#564;#draughtpersons and building inspectors;#1631;#design and development engineers;#323;#design associate professionals",eusmund7.pdf,current,2020-12-01 00:00:00,original,eusmund7,,,"specifications, sketches, approvals, industry standards, codes of practice",mund7,2018-10-05 16:03:42,2018-10-05 16:03:42,item,publishednos
1641,energy & utility skills,produce detailed drawings to support utility network activities,multi-utility network design,1258;#multi-utility network design,"engineering; construction, planning and the built environment; draughtpersons and building inspectors; design and development engineers; design associate professionals","55;#engineering;#13;#construction, planning and the built environment;#564;#draughtpersons and building inspectors;#1631;#design and development engineers;#323;#design associate professionals",eusmund7.pdf,current,2020-12-01 00:00:00,original,eusmund7,2139,core,"specifications, sketches, approvals, industry standards, codes of practice",mund7,2018-02-12 11:47:15,2019-03-21 14:10:07,item,publishednos-old
1180,energy & utility skills,use technical information to review utility network detailed drawings,multi-utility network design,1258;#multi-utility network design,"engineering; construction, planning and the built environment; draughtpersons and building inspectors; design associate professionals","55;#engineering;#13;#construction, planning and the built environment;#564;#draughtpersons and building inspectors;#323;#design associate professionals",eusmund8.pdf,current,2020-12-22 00:00:00,original,eusmund8,,,"specifications, format, conventions",mund8,2018-10-05 16:03:38,2018-10-05 16:03:39,item,publishednos
1644,energy & utility skills,use technical information to review utility network detailed drawings,multi-utility network design,1258;#multi-utility network design,"engineering; construction, planning and the built environment; draughtpersons and building inspectors; design associate professionals","55;#engineering;#13;#construction, planning and the built environment;#564;#draughtpersons and building inspectors;#323;#design associate professionals",eusmund8.pdf,current,2020-12-22 00:00:00,original,eusmund8,2139,core,"specifications, format, conventions",mund8,2018-02-12 11:47:02,2019-03-21 14:10:54,item,publishednos-old
1207,lantra,plan and manage a land-based project or event,environmental conservation; treework; game and wildlife management,1065;#environmental conservation;#414;#treework;#423;#game and wildlife management,estate worker; ranger; access officer; manager of volunteers; education and interpretation officer; conservation officer; ecologist; arboriculture and forestry; coppicing; estate manager,1056;#estate worker;#1057;#ranger;#1058;#access officer;#1059;#manager of volunteers;#1060;#education and interpretation officer;#1061;#conservation officer;#1062;#ecologist;#1063;#arboriculture and forestry;#1064;#coppicing;#347;#estate manager,lancs45.pdf,current,2023-01-31 00:00:00,original,lancs45,,,environmental conservation; treework; game and wildlife management,lancs45,2018-07-30 08:07:23,2018-08-03 14:54:08,item,publishednos
1224,lantra,plan and manage a land-based project or event,environmental conservation; treework; game and wildlife management,1065;#environmental conservation;#414;#treework;#423;#game and wildlife management,estate worker; ranger; access officer; manager of volunteers; education and interpretation officer; conservation officer; ecologist; arboriculture and forestry; coppicing; estate manager,1056;#estate worker;#1057;#ranger;#1058;#access officer;#1059;#manager of volunteers;#1060;#education and interpretation officer;#1061;#conservation officer;#1062;#ecologist;#1063;#arboriculture and forestry;#1064;#coppicing;#347;#estate manager,lancs45.pdf,current,2023-01-31 00:00:00,original,lancs45,1213,,environmental conservation; treework; game and wildlife management,lancs45,2018-06-21 16:10:20,2018-10-12 15:05:35,item,publishednos-old
1219,lantra,establish a game shooting programme,game and wildlife management,423;#game and wildlife management,estate manager; game and wildlife manager,347;#estate manager;#346;#game and wildlife manager,langwm1.pdf,current,2023-01-31 00:00:00,original,langwm1,,,game; wildlife; shooting; estate,langwm1,2018-07-30 08:07:06,2018-08-03 14:54:07,item,publishednos
1226,lantra,establish a game shooting programme,game and wildlife management,423;#game and wildlife management,estate manager; game and wildlife manager,347;#estate manager;#346;#game and wildlife manager,langwm1.pdf,current,2023-01-31 00:00:00,original,langwm1,5119,,game; wildlife; shooting; estate,langwm1,2018-06-21 16:10:03,2018-10-18 11:35:46,item,publishednos-old
1218,lantra,manage the implementation of shoot day activities,game and wildlife management,423;#game and wildlife management,estate manager; game and wildlife manager,347;#estate manager;#346;#game and wildlife manager,langwm2.pdf,current,2023-01-31 00:00:00,original,langwm2,,,game; wildlife; shooting; estate; guns,langwm2,2018-07-30 08:07:11,2018-08-03 14:54:08,item,publishednos
1225,lantra,manage the implementation of shoot day activities,game and wildlife management,423;#game and wildlife management,estate manager; game and wildlife manager,347;#estate manager;#346;#game and wildlife manager,langwm2.pdf,current,2023-01-31 00:00:00,original,langwm2,5119,,game; wildlife; shooting; estate; guns,langwm2,2018-06-21 16:10:07,2018-10-18 11:36:54,item,publishednos-old
