,Developed By,NOS Title,Suite,SuiteMetadata,Occupations,OccupationsMetadata,Name,Validity,Indicative Review Date,NOS Document Status,URN,SOC Code,NOSCategory,Keywords,Original URN,Created,Modified,Item Type,Path
1625,energy & utility skills,respond to reported gas upstream emergencies,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.15.pdf,current,2021-12-01 00:00:00,original,eusdsg3.15,8114,jobspecific,"reported, gas, upstream, distribution, emergency, emergencies, utility, utilities",dsg 3.15,2018-02-12 11:52:16,2019-03-21 11:27:31,item,publishednos-old
1160,energy & utility skills,respond to reported gas downstream emergencies,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.16.pdf,current,2021-12-01 00:00:00,original,eusdsg3.16,,,"dealing, reported, gas, downstream, utilisation, emergency, emergencies, utility, utilities",dsg 3.16,2018-10-05 16:04:33,2018-10-05 16:04:34,item,publishednos
1624,energy & utility skills,respond to reported gas downstream emergencies,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.16.pdf,current,2021-12-01 00:00:00,original,eusdsg3.16,5314,jobspecific,"dealing, reported, gas, downstream, utilisation, emergency, emergencies, utility, utilities",dsg 3.16,2018-02-12 11:52:17,2019-03-21 11:26:14,item,publishednos-old
1159,energy & utility skills,"strength testing, gas tightness testing and direct purging ",down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.17.pdf,current,2021-12-01 00:00:00,original,eusdsg3.17,,,"strength, testing, gas, tightness, direct purging, ige/up/1a, utility, utilities",dsg 3.17,2018-10-05 16:04:35,2018-10-05 16:04:35,item,publishednos
1623,energy & utility skills,"strength testing, gas tightness testing and direct purging ",down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.17.pdf,current,2021-12-01 00:00:00,original,eusdsg3.17,5314,core,"strength, testing, gas, tightness, direct purging, ige/up/1a, utility, utilities",dsg 3.17,2018-02-12 11:52:19,2019-03-21 11:27:56,item,publishednos-old
1158,energy & utility skills,apply health and safety legislation and working practices,"domestic natural gas, installation and maintenance","1261;#domestic natural gas, installation and maintenance",engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.18.pdf,current,2021-01-01 00:00:00,original,eusdsg3.18,,,"health, safety, legislation, gas, utility, utilities",dsg3.18,2018-10-05 16:04:36,2018-10-05 16:04:36,item,publishednos
1622,energy & utility skills,apply health and safety legislation and working practices,"domestic natural gas, installation and maintenance; domestic natural gas","1261;#domestic natural gas, installation and maintenance;#1262;#domestic natural gas",engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.18.pdf,current,2021-01-01 00:00:00,original,eusdsg3.18,1170,generic,"health, safety, legislation, gas, utility, utilities",dsg3.18,2018-02-12 11:52:21,2019-03-21 11:28:29,item,publishednos-old
1174,energy & utility skills,"maintain domestic gas cookers, tumble dryers and leisure appliances",down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.2.pdf,current,2021-12-01 00:00:00,original,eusdsg3.2,,,"maintain, maintenance, domestic, gas, cookers, tumble dryers, leisure appliances",dsg 3.2,2018-10-05 16:04:11,2018-10-05 16:04:11,item,publishednos
1638,energy & utility skills,"maintain domestic gas cookers, tumble dryers and leisure appliances",down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.2.pdf,current,2021-12-01 00:00:00,original,eusdsg3.2,5314,jobspecific,"maintain, maintenance, domestic, gas, cookers, tumble dryers, leisure appliances",dsg 3.2,2018-02-12 11:51:35,2019-03-21 11:30:14,item,publishednos-old
1173,energy & utility skills,install gas water heating and wet central heating ,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.3.pdf,current,2021-12-01 00:00:00,original,eusdsg3.3,,,"install, installation, gas, water, heating, wet central heating, utility, utilities, commissioning, commission",dsg 3.3,2018-10-05 16:04:13,2018-10-05 16:04:14,item,publishednos
