,"Science, research, engineering and technology professionals","Process, plant and machine operatives","Culture, media and sports occupations",Business and public service associate professionals,Administrative occupations,Corporate managers and directors,"Business, media and public service professionals","Textiles, printing and other skilled trades",Elementary administration and service occupations,Skilled construction and building trades,"Skilled metal, electrical and electronic trades",Sales occupations,Caring personal service occupations,Transport and mobile machine drivers and operatives,"Leisure, travel and related personal service occupations",Other managers and proprietors,"Science, engineering and technology associate professionals",Skilled agricultural and related trades,Health and social care associate professionals,Protective service occupations,Customer service occupations,Secretarial and related occupations,Elementary trades and related occupations,Health professionals,"Managers, directors and senior officials",Teaching and educational professionals,Elementary occupations
Semta,1639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skills for health,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0
Skills for justice,13.0,0.0,0.0,83.0,364.0,49.0,239.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,193.0,225.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0
Nsafd,0.0,677.0,0.0,33.0,0.0,1.0,53.0,170.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
People 1st,0.0,0.0,0.0,64.0,14.0,146.0,0.0,223.0,131.0,11.0,75.0,172.0,1.0,220.0,134.0,70.0,0.0,0.0,0.0,1.0,5.0,62.0,1.0,0.0,0.0,0.0,0.0
Construction skills,16.0,250.0,0.0,12.0,0.0,26.0,161.0,0.0,0.0,373.0,8.0,0.0,0.0,14.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Cogent,65.0,411.0,23.0,19.0,0.0,0.0,0.0,63.0,20.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
Lantra,34.0,0.0,11.0,44.0,1.0,0.0,0.0,9.0,0.0,44.0,80.0,0.0,346.0,7.0,0.0,9.0,37.0,282.0,6.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
Proskills,0.0,228.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skills cfa,0.0,0.0,0.0,210.0,114.0,246.0,238.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,117.0,16.0,0.0,0.0,0.0,0.0,0.0
Creative skillset,56.0,17.0,376.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creative and cultural skills,49.0,0.0,609.0,0.0,15.0,0.0,0.0,75.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
