Skill name,Skill cluster
carry out repairs and maintenance of vehicle bodies,driving and automotive maintenance
evacuate people height,driving and automotive maintenance
climb on railcars,driving and automotive maintenance
operate various kinds of grass maintenance equipment,driving and automotive maintenance
ammunitions,driving and automotive maintenance
groom animals,driving and automotive maintenance
position vehicle maintenance repair,driving and automotive maintenance
operate nailing machinery,driving and automotive maintenance
operate broadcast equipment,driving and automotive maintenance
carry maintenance aquaculture equipment,driving and automotive maintenance
operate cranes,driving and automotive maintenance
rescue bathers,driving and automotive maintenance
procure mechanical machinery,driving and automotive maintenance
install windshields,driving and automotive maintenance
harness horse carriage,driving and automotive maintenance
watercrafts,driving and automotive maintenance
steer vessel port,driving and automotive maintenance
rescue animal,driving and automotive maintenance
mechanical mine machinery manual,driving and automotive maintenance
store kitchen supply,driving and automotive maintenance
train gun dogs,driving and automotive maintenance
use ballast,driving and automotive maintenance
feed hopper,driving and automotive maintenance
carry out maintenance of aquaculture equipment,driving and automotive maintenance
signaling (crane rigging),driving and automotive maintenance
carry out cleaning of road drains,driving and automotive maintenance
rail yard,driving and automotive maintenance
manufacture fur products,driving and automotive maintenance
manage heavy equipment,driving and automotive maintenance
maintain vehicle appearance,driving and automotive maintenance
purchase fruit vegetable,driving and automotive maintenance
operate distilling equipment,driving and automotive maintenance
change kegs,driving and automotive maintenance
shopware,driving and automotive maintenance
vehicle inspection databases,driving and automotive maintenance
maintain vehicle spare parts,driving and automotive maintenance
steer vessel,driving and automotive maintenance
help prepare lifeboat,driving and automotive maintenance
operate specialise equipment emergency,driving and automotive maintenance
execute vehicle maintenance,driving and automotive maintenance
perform repair bicycle,driving and automotive maintenance
set crane,driving and automotive maintenance
operate rail grinder,driving and automotive maintenance
maintain barrel,driving and automotive maintenance
operate amusement rides,driving and automotive maintenance
perform routine maintenance of ship engines,driving and automotive maintenance
operate wine pumps,driving and automotive maintenance
supervise the wine cellar,driving and automotive maintenance
grease fitting,driving and automotive maintenance
dig well,driving and automotive maintenance
malts (brewing ingredients),driving and automotive maintenance
assess trim vessel,driving and automotive maintenance
conduct routine machinery checks,driving and automotive maintenance
wash deck ship,driving and automotive maintenance
good driving record,driving and automotive maintenance
slaughter livestock follow cultural practice,driving and automotive maintenance
carry aerial tree rig,driving and automotive maintenance
dig wells,driving and automotive maintenance
adjust clothes,driving and automotive maintenance
load heavy item pallet,driving and automotive maintenance
maintain cutting equipment,driving and automotive maintenance
camping gear,driving and automotive maintenance
assess trim of vessels,driving and automotive maintenance
lift operations lift equipment regulation,driving and automotive maintenance
engine tuning,driving and automotive maintenance
perform routine maintenance railway engine,driving and automotive maintenance
maintenance of ammunition,driving and automotive maintenance
operate chainsaw,driving and automotive maintenance
maintain vineyard machinery,driving and automotive maintenance
operate dairy farms,driving and automotive maintenance
train dealer,driving and automotive maintenance
oil tankers,driving and automotive maintenance
shunt load,driving and automotive maintenance
operate slaughterhouse installation,driving and automotive maintenance
assemble circus rigging equipment,driving and automotive maintenance
prevent domestic accident,driving and automotive maintenance
slaughter fur animal,driving and automotive maintenance
hazards associated with loading dangerous goods,driving and automotive maintenance
perform general maintenance on ship exteriors,driving and automotive maintenance
operate railway switches,driving and automotive maintenance
slaughter fur animals,driving and automotive maintenance
operate concrete mixer truck,driving and automotive maintenance
types of whisks,driving and automotive maintenance
inspect aircraft s body,driving and automotive maintenance
operate ash handling equipment,driving and automotive maintenance
dispose dead animal,driving and automotive maintenance
sell vehicle parts,driving and automotive maintenance
check film reel,driving and automotive maintenance
degaussing,driving and automotive maintenance
operate hatchery tray,driving and automotive maintenance
operate emergency vehicle,driving and automotive maintenance
schedule hatchery supply,driving and automotive maintenance
roast coffee,driving and automotive maintenance
operate cremation equipment,driving and automotive maintenance
inspect soap production operate unit,driving and automotive maintenance
launch lifeboat,driving and automotive maintenance
prepare specialised meat products,driving and automotive maintenance
operate various kind grass maintenance equipment,driving and automotive maintenance
transport horses,driving and automotive maintenance
park vehicles,driving and automotive maintenance
inspect timber,driving and automotive maintenance
moor vessel,driving and automotive maintenance
sell bicycle,driving and automotive maintenance
repair jewellery,driving and automotive maintenance
agricultural machinery,driving and automotive maintenance
claw hammer,driving and automotive maintenance
land helicopter dock lhd,driving and automotive maintenance
cashiering,driving and automotive maintenance
tend amusement park booth,driving and automotive maintenance
operate maritime lifting equipment,driving and automotive maintenance
operate front loader,driving and automotive maintenance
kosher slaughtering practice,driving and automotive maintenance
tend prepare animal feed equipment,driving and automotive maintenance
tend amusement park booths,driving and automotive maintenance
repair musical instrument,driving and automotive maintenance
use rig equipment,driving and automotive maintenance
assist bottling,driving and automotive maintenance
braise cooking,driving and automotive maintenance
sell bicycles,driving and automotive maintenance
shipping through ups,driving and automotive maintenance
maintain jewel watch,driving and automotive maintenance
suspend animals,driving and automotive maintenance
operate remote broadcast equipment,driving and automotive maintenance
perform maintenance on locomotives,driving and automotive maintenance
operate hatchery trays,driving and automotive maintenance
maintain barrels,driving and automotive maintenance
assemble bicycle,driving and automotive maintenance
operate follow-me vehicle,driving and automotive maintenance
tend wine manufacturing machine,driving and automotive maintenance
traffic laws,driving and automotive maintenance
maintain sound equipment,driving and automotive maintenance
use jewellery equipment,driving and automotive maintenance
operate heavy construction machinery supervision,driving and automotive maintenance
perform loading unloading operations,driving and automotive maintenance
inspect construction ship,driving and automotive maintenance
commercial vehicle operation,driving and automotive maintenance
tend sweet making machines,driving and automotive maintenance
inspect aircraft manufacturing,driving and automotive maintenance
carry chassis modification,driving and automotive maintenance
maintain shipboard machinery,driving and automotive maintenance
animal feed ingredients,driving and automotive maintenance
monitor sport equipment,driving and automotive maintenance
automobile handling,driving and automotive maintenance
manage aircraft parking areas,driving and automotive maintenance
operate forestry machinery,driving and automotive maintenance
control train departures,driving and automotive maintenance
operate railway switch,driving and automotive maintenance
inspect fire equipment,driving and automotive maintenance
shunt inbound load,driving and automotive maintenance
flatbed truck,driving and automotive maintenance
carry cleaning road drain,driving and automotive maintenance
general store,driving and automotive maintenance
set up fish harvesting equipment,driving and automotive maintenance
maintain vessel safety emergency equipment,driving and automotive maintenance
maintain engraving equipment,driving and automotive maintenance
apply fishing maneuvres,driving and automotive maintenance
horse riding equipment,driving and automotive maintenance
operate paper cutter,driving and automotive maintenance
bicycle mechanics,driving and automotive maintenance
brakeman,driving and automotive maintenance
operate roller,driving and automotive maintenance
supervise grape pressing,driving and automotive maintenance
collect live fish,driving and automotive maintenance
perform cleaning duty,driving and automotive maintenance
transfer luggage,driving and automotive maintenance
animal feed ingredient,driving and automotive maintenance
inspect vessel manufacturing,driving and automotive maintenance
check diving equipment,driving and automotive maintenance
fill sacks,driving and automotive maintenance
maintain vessel engine room,driving and automotive maintenance
paper mill,driving and automotive maintenance
manage funeral equipment,driving and automotive maintenance
operate follow-me vehicles,driving and automotive maintenance
wash bicycle,driving and automotive maintenance
carry check production plant equipment,driving and automotive maintenance
headlight maintenance,driving and automotive maintenance
moor vessels,driving and automotive maintenance
signal crane rig,driving and automotive maintenance
operate pumping equipment,driving and automotive maintenance
maintain material handling equipment,driving and automotive maintenance
check film reels,driving and automotive maintenance
check ticket carriage,driving and automotive maintenance
automotive manufacturing,driving and automotive maintenance
